Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QW,QX,QY,QZ,AltFilt,VelFilt,AccVertLiq,Tilt,Pressao,Servo,Gain1,Gain2,Estado
4484,-0.047,0.032,1.002,-0.061,0.305,0.183,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.08,0.00,0.019,0.0,96035.7,0.00,0.000,0.000,2
4684,-0.048,0.031,1.007,-0.061,0.122,0.244,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.07,0.01,0.067,0.0,96038.3,0.00,0.000,0.000,2
4884,-0.046,0.032,1.003,-0.061,0.244,0.122,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.03,0.02,0.029,0.0,96039.0,0.00,0.000,0.000,2
5084,-0.048,0.031,1.003,-0.061,0.183,0.183,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.04,0.02,0.029,0.0,96037.6,0.00,0.000,0.000,2
5284,-0.049,0.030,1.002,-0.061,0.305,0.244,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.06,0.02,0.024,0.0,96039.0,0.00,0.000,0.000,2
5484,-0.045,0.031,1.005,-0.061,0.183,0.183,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.08,-0.00,0.048,0.0,96039.1,0.00,0.000,0.000,2
5684,-0.048,0.032,1.000,0.000,0.244,0.183,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.11,-0.02,0.005,0.0,96036.2,0.00,0.000,0.000,2
5884,-0.046,0.031,1.002,0.000,0.427,0.244,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.08,0.02,0.019,0.0,96039.1,0.00,0.000,0.000,2
6084,-0.047,0.030,1.004,-0.061,0.183,0.244,-62.036,273.054,144.836,0.9993,0.0193,-0.0126,-0.0282,-0.10,-0.01,0.056,2.6,96039.1,0.00,0.000,0.000,2
6284,-0.047,0.030,1.003,-0.061,0.122,0.183,-62.036,273.054,144.836,0.9940,0.0124,-0.0283,-0.1046,-0.10,0.00,0.044,3.5,96040.5,0.00,0.000,0.000,2
6484,-0.046,0.031,1.002,0.000,0.305,0.305,-62.036,273.054,144.836,0.9941,0.0091,-0.0227,-0.1054,-0.02,0.09,0.039,2.8,96033.3,0.00,0.000,0.000,2
6684,-0.046,0.032,1.003,-0.061,0.183,0.244,-62.036,273.054,144.836,0.9942,0.0095,-0.0230,-0.1050,0.03,0.12,0.049,2.9,96036.2,0.00,0.000,0.000,2
6884,-0.049,0.032,1.002,-0.122,0.244,0.244,-62.036,273.054,144.836,0.9941,0.0089,-0.0248,-0.1051,0.02,0.10,0.040,3.0,96039.7,0.00,0.000,0.000,2
7084,-0.048,0.032,1.003,-0.122,0.061,0.183,-62.036,273.054,144.836,0.9941,0.0088,-0.0259,-0.1050,0.01,0.08,0.045,3.1,96037.7,0.00,0.000,0.000,2
7284,-0.047,0.032,1.000,-0.061,0.183,0.183,-62.036,273.054,144.836,0.9941,0.0091,-0.0240,-0.1050,-0.03,0.04,0.020,2.9,96039.1,0.00,0.000,0.000,2
7484,-0.047,0.032,1.005,-0.122,0.244,0.305,-62.036,273.054,144.836,0.9942,0.0092,-0.0235,-0.1050,-0.08,-0.00,0.063,2.9,96036.9,0.00,0.000,0.000,2
7684,-0.049,0.032,1.001,-0.061,0.244,0.305,-62.036,273.054,144.836,0.9941,0.0088,-0.0252,-0.1050,-0.06,0.02,0.026,3.1,96038.5,0.00,0.000,0.000,2
7884,-0.046,0.032,1.003,-0.122,0.244,0.305,-62.036,273.054,144.836,0.9941,0.0089,-0.0246,-0.1049,-0.02,0.06,0.044,3.0,96034.2,0.00,0.000,0.000,2
8084,-0.049,0.031,1.002,-0.122,0.366,0.183,-62.036,273.054,144.836,0.9940,0.0089,-0.0272,-0.1051,0.00,0.08,0.040,3.3,96034.3,0.00,0.000,0.000,2
8284,-0.048,0.031,1.000,-0.061,0.305,0.183,-70.898,268.978,153.356,0.9921,0.0089,-0.0257,-0.1224,0.06,0.12,0.021,3.1,96037.7,0.00,0.000,0.000,2
8484,-0.047,0.031,1.006,-0.061,0.183,0.244,-70.898,268.978,153.356,0.9921,0.0087,-0.0261,-0.1225,0.07,0.12,0.078,3.1,96036.2,0.00,0.000,0.000,2
8684,-0.046,0.030,1.003,0.000,0.183,0.122,-70.898,268.978,153.356,0.9921,0.0084,-0.0255,-0.1225,0.08,0.12,0.043,3.1,96036.4,0.00,0.000,0.000,2
8884,-0.046,0.031,1.005,0.000,0.305,0.244,-70.898,268.978,153.356,0.9922,0.0088,-0.0240,-0.1224,0.08,0.10,0.063,2.9,96037.1,0.00,0.000,0.000,2
9084,-0.047,0.029,1.006,0.000,0.183,0.183,-70.898,268.978,153.356,0.9921,0.0080,-0.0261,-0.1228,0.13,0.14,0.072,3.1,96033.6,0.00,0.000,0.000,2
9284,-0.047,0.031,1.002,-0.061,0.244,0.183,-70.898,268.978,153.356,0.9921,0.0087,-0.0259,-0.1223,0.14,0.13,0.034,3.1,96036.3,0.00,0.000,0.000,2
9484,-0.047,0.032,1.002,-0.061,0.244,0.244,-70.898,268.978,153.356,0.9921,0.0096,-0.0269,-0.1223,0.13,0.10,0.035,3.3,96034.3,0.00,0.000,0.000,2
9684,-0.049,0.032,1.003,0.000,0.244,0.305,-70.898,268.978,153.356,0.9921,0.0089,-0.0265,-0.1223,0.09,0.07,0.050,3.2,96036.4,0.00,0.000,0.000,2
9884,-0.047,0.032,1.003,0.000,0.305,0.183,-70.898,268.978,153.356,0.9921,0.0096,-0.0268,-0.1222,0.10,0.06,0.044,3.3,96040.8,0.00,0.000,0.000,2
10084,-0.047,0.030,1.004,-0.122,0.305,0.183,-70.898,268.978,153.356,0.9921,0.0084,-0.0264,-0.1227,0.08,0.05,0.053,3.2,96039.2,0.00,0.000,0.000,2
10284,-0.048,0.031,1.001,-0.122,0.244,0.183,-60.264,268.978,176.075,0.9938,0.0130,-0.0264,-0.1077,0.05,0.02,0.025,3.4,96035.5,0.00,0.000,0.000,2
10484,-0.050,0.032,1.005,-0.244,0.305,0.183,-60.264,268.978,176.075,0.9940,0.0160,-0.0268,-0.1044,-0.03,-0.04,0.065,3.6,96039.9,0.00,0.000,0.000,2
10684,-0.047,0.029,1.001,-0.122,0.244,0.183,-60.264,268.978,176.075,0.9941,0.0161,-0.0246,-0.1047,0.04,0.03,0.024,3.4,96037.8,0.00,0.000,0.000,2
10884,-0.047,0.031,1.002,-0.061,0.183,0.183,-60.264,268.978,176.075,0.9941,0.0161,-0.0236,-0.1045,0.06,0.05,0.034,3.3,96034.9,0.00,0.000,0.000,2
11084,-0.047,0.032,1.004,-0.061,0.183,0.305,-60.264,268.978,176.075,0.9941,0.0167,-0.0243,-0.1045,0.07,0.06,0.059,3.4,96037.1,0.00,0.000,0.000,2
11284,-0.046,0.031,1.004,-0.122,0.305,0.183,-60.264,268.978,176.075,0.9942,0.0160,-0.0231,-0.1043,0.10,0.08,0.058,3.2,96032.8,0.00,0.000,0.000,2
11484,-0.047,0.031,1.006,-0.183,0.305,0.183,-60.264,268.978,176.075,0.9941,0.0163,-0.0245,-0.1047,0.12,0.10,0.073,3.4,96032.8,0.00,0.000,0.000,2
11684,-0.049,0.031,1.000,0.000,0.305,0.244,-60.264,268.978,176.075,0.9940,0.0162,-0.0266,-0.1044,0.16,0.12,0.016,3.6,96038.5,0.00,0.000,0.000,2
11884,-0.048,0.031,0.999,-0.061,0.305,0.183,-60.264,268.978,176.075,0.9941,0.0166,-0.0258,-0.1043,0.13,0.09,0.006,3.5,96034.2,0.00,0.000,0.000,2
12084,-0.048,0.031,1.001,-0.061,0.305,0.244,-60.264,268.978,176.075,0.9941,0.0165,-0.0250,-0.1046,0.16,0.11,0.025,3.4,96038.6,0.00,0.000,0.000,2
12284,-0.048,0.032,1.001,-0.061,0.244,0.183,-60.264,268.978,176.075,0.9941,0.0165,-0.0241,-0.1044,0.19,0.12,0.030,3.3,96037.8,0.00,0.000,0.000,2
12484,-0.047,0.031,1.006,-0.061,0.122,0.183,-60.264,268.978,176.075,0.9941,0.0164,-0.0247,-0.1046,0.14,0.06,0.078,3.4,96036.4,0.00,0.000,0.000,2
12684,-0.048,0.031,1.004,-0.061,0.244,0.244,-60.264,268.978,176.075,0.9941,0.0163,-0.0251,-0.1046,0.07,-0.00,0.054,3.4,96037.8,0.00,0.000,0.000,2
12884,-0.046,0.031,1.001,-0.122,0.244,0.244,-60.264,268.978,176.075,0.9941,0.0168,-0.0245,-0.1043,-0.02,-0.06,0.024,3.4,96034.9,0.00,0.000,0.000,2
13084,-0.047,0.030,1.001,-0.122,0.305,0.305,-60.264,268.978,176.075,0.9941,0.0161,-0.0238,-0.1046,-0.03,-0.05,0.024,3.3,96037.8,0.00,0.000,0.000,2
13284,-0.047,0.032,1.002,-0.061,0.305,0.244,-60.264,268.978,176.075,0.9941,0.0168,-0.0245,-0.1042,-0.03,-0.03,0.035,3.4,96036.4,0.00,0.000,0.000,2
13484,-0.047,0.032,1.002,-0.061,0.305,0.244,-60.264,268.978,176.075,0.9941,0.0163,-0.0252,-0.1045,-0.03,-0.03,0.035,3.4,96038.5,0.00,0.000,0.000,2
