Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QW,QX,QY,QZ,AltFilt,VelFilt,AccVertLiq,Tilt,Pressao,Servo,Gain1,Gain2,Estado
4481,-0.048,0.032,1.004,-0.061,0.122,0.183,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.14,0.00,0.043,0.0,96035.1,0.00,0.000,0.000,2
4681,-0.049,0.032,1.002,-0.122,0.244,0.183,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.16,0.01,0.019,0.0,96033.1,0.00,0.000,0.000,2
4881,-0.047,0.028,1.000,-0.061,0.183,0.183,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.13,0.01,-0.005,0.0,96036.5,0.00,0.000,0.000,2
5081,-0.048,0.031,1.001,-0.122,0.305,0.305,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.15,0.01,0.010,0.0,96034.5,0.00,0.000,0.000,2
5281,-0.047,0.031,1.004,0.000,0.244,0.183,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.12,-0.00,0.043,0.0,96038.8,0.00,0.000,0.000,2
5481,-0.049,0.029,1.005,-0.122,0.244,0.244,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.07,-0.03,0.048,0.0,96035.1,0.00,0.000,0.000,2
5681,-0.048,0.029,1.003,-0.061,0.244,0.244,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.08,-0.01,0.029,0.0,96033.1,0.00,0.000,0.000,2
5881,-0.050,0.031,0.998,-0.061,0.122,0.183,-54.946,259.469,167.556,1.0000,0.0009,-0.0007,-0.0012,0.05,-0.04,-0.023,0.1,96034.4,0.00,0.000,0.000,2
6081,-0.048,0.031,1.000,-0.122,0.183,0.244,-54.946,259.469,167.556,1.0000,0.0028,-0.0023,-0.0035,0.03,-0.05,-0.001,0.4,96034.3,0.00,0.000,0.000,2
6281,-0.048,0.031,1.001,-0.122,0.244,0.183,-54.946,259.469,167.556,1.0000,0.0046,-0.0039,-0.0059,0.01,-0.05,0.020,0.7,96041.5,0.00,0.000,0.000,2
6481,-0.048,0.031,1.000,-0.122,0.244,0.183,-54.946,259.469,167.556,0.9999,0.0063,-0.0054,-0.0084,0.02,-0.04,0.012,1.0,96035.1,0.00,0.000,0.000,2
6681,-0.050,0.032,1.000,-0.122,0.366,0.244,-54.946,259.469,167.556,0.9999,0.0081,-0.0069,-0.0109,0.01,-0.03,0.014,1.2,96037.9,0.00,0.000,0.000,2
6881,-0.050,0.031,1.001,0.000,0.244,0.183,-54.946,259.469,167.556,0.9998,0.0098,-0.0084,-0.0135,0.06,0.01,0.025,1.5,96035.9,0.00,0.000,0.000,2
7081,-0.048,0.030,0.999,-0.061,0.183,0.244,-54.946,259.469,167.556,0.9998,0.0114,-0.0099,-0.0161,0.06,0.01,0.002,1.7,96039.3,0.00,0.000,0.000,2
7281,-0.048,0.031,0.999,-0.122,0.305,0.183,-54.946,259.469,167.556,0.9997,0.0130,-0.0113,-0.0187,0.07,0.03,-0.002,2.0,96033.1,0.00,0.000,0.000,2
7481,-0.049,0.030,1.003,-0.122,0.244,0.305,-54.946,259.469,167.556,0.9996,0.0145,-0.0127,-0.0215,0.05,0.01,0.042,2.2,96031.5,0.00,0.000,0.000,2
7681,-0.048,0.029,1.001,-0.122,0.183,0.183,-54.946,259.469,167.556,0.9995,0.0159,-0.0141,-0.0243,0.08,0.04,0.023,2.4,96034.5,0.00,0.000,0.000,2
7881,-0.049,0.031,1.000,-0.122,0.305,0.305,-54.946,281.205,156.196,0.9994,0.0171,-0.0155,-0.0273,0.09,0.05,0.010,2.6,96035.2,0.00,0.000,0.000,2
8081,-0.048,0.032,1.002,-0.061,0.305,0.244,-54.946,281.205,156.196,0.9992,0.0181,-0.0168,-0.0304,0.08,0.03,0.039,2.8,96036.5,0.00,0.000,0.000,2
8281,-0.048,0.032,1.004,-0.122,0.305,0.244,-54.946,281.205,156.196,0.9991,0.0190,-0.0180,-0.0335,0.12,0.06,0.058,3.0,96033.0,0.00,0.000,0.000,2
8481,-0.049,0.033,1.001,-0.122,0.244,0.244,-54.946,281.205,156.196,0.9989,0.0197,-0.0192,-0.0367,0.16,0.09,0.030,3.2,96032.3,0.00,0.000,0.000,2
8681,-0.047,0.030,0.996,-0.122,0.305,0.183,-54.946,281.205,156.196,0.9988,0.0203,-0.0203,-0.0399,0.20,0.12,-0.024,3.3,96034.5,0.00,0.000,0.000,2
8881,-0.049,0.032,1.002,-0.122,0.305,0.183,-54.946,281.205,156.196,0.9986,0.0208,-0.0213,-0.0431,0.22,0.12,0.035,3.4,96035.2,0.00,0.000,0.000,2
9081,-0.045,0.029,0.999,0.000,0.305,0.183,-54.946,281.205,156.196,0.9985,0.0210,-0.0222,-0.0464,0.15,0.04,0.003,3.5,96040.0,0.00,0.000,0.000,2
9281,-0.048,0.031,1.004,-0.061,0.305,0.244,-54.946,281.205,156.196,0.9983,0.0210,-0.0231,-0.0498,0.13,0.02,0.053,3.6,96035.2,0.00,0.000,0.000,2
9481,-0.049,0.031,1.002,-0.122,0.122,0.244,-54.946,281.205,156.196,0.9981,0.0209,-0.0237,-0.0531,0.09,-0.01,0.039,3.6,96037.3,0.00,0.000,0.000,2
9681,-0.046,0.031,1.002,-0.061,0.305,0.183,-54.946,281.205,156.196,0.9979,0.0207,-0.0242,-0.0565,0.06,-0.03,0.034,3.7,96039.2,0.00,0.000,0.000,2
9881,-0.050,0.030,0.997,-0.061,0.183,0.244,-53.174,260.827,164.716,0.9977,0.0207,-0.0248,-0.0598,0.03,-0.05,-0.013,3.7,96035.2,0.00,0.000,0.000,2
10081,-0.046,0.029,1.000,-0.061,0.244,0.183,-53.174,260.827,164.716,0.9975,0.0204,-0.0250,-0.0631,0.01,-0.05,0.018,3.7,96033.0,0.00,0.000,0.000,2
10281,-0.046,0.032,1.007,-0.122,0.244,0.183,-53.174,260.827,164.716,0.9973,0.0199,-0.0251,-0.0664,0.01,-0.04,0.082,3.7,96033.1,0.00,0.000,0.000,2
