Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QW,QX,QY,QZ,AltFilt,VelFilt,AccVertLiq,Tilt,Pressao,Servo,Gain1,Gain2,Estado
4498,-0.048,0.029,1.002,-0.122,0.183,0.183,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.00,0.01,0.024,0.0,96038.2,0.00,0.000,0.000,2
4698,-0.049,0.030,0.999,0.000,0.244,0.244,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.00,0.01,-0.010,0.0,96036.7,0.00,0.000,0.000,2
4898,-0.048,0.031,1.000,-0.061,0.122,0.305,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.00,0.01,0.005,0.0,96036.8,0.00,0.000,0.000,2
5098,-0.050,0.030,1.005,-0.061,0.122,0.244,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.01,0.01,0.048,0.0,96035.4,0.00,0.000,0.000,2
5298,-0.050,0.030,0.999,-0.061,0.122,0.305,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.01,0.02,-0.014,0.0,96041.7,0.00,0.000,0.000,2
5498,-0.048,0.029,1.003,-0.183,0.244,0.244,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.01,0.02,0.034,0.0,96035.4,0.00,0.000,0.000,2
5698,-0.049,0.030,1.003,-0.061,0.122,0.244,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.02,0.02,0.029,0.0,96038.9,0.00,0.000,0.000,2
5898,-0.049,0.031,1.002,-0.061,0.244,0.183,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.02,0.03,0.019,0.0,96038.9,0.00,0.000,0.000,2
6098,-0.048,0.029,1.002,-0.061,0.183,0.305,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.03,0.03,0.019,0.0,96034.9,0.00,0.000,0.000,2
6298,-0.049,0.031,1.002,-0.061,0.183,0.183,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.04,0.04,0.019,0.0,96039.6,0.00,0.000,0.000,2
6498,-0.050,0.032,1.000,0.000,0.183,0.244,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.04,0.04,0.005,0.0,96037.6,0.00,0.000,0.000,2
6698,-0.046,0.029,1.006,-0.061,0.305,0.183,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.05,0.04,0.057,0.0,96037.5,0.00,0.000,0.000,2
6898,-0.049,0.030,1.001,-0.061,0.244,0.244,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.06,0.05,0.014,0.0,96036.9,0.00,0.000,0.000,2
7098,-0.048,0.030,1.002,-0.061,0.305,0.244,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.07,0.05,0.024,0.0,96038.9,0.00,0.000,0.000,2
7298,-0.050,0.033,1.001,-0.122,0.305,0.244,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.08,0.05,0.014,0.0,96038.3,0.00,0.000,0.000,2
7499,-0.048,0.031,1.001,-0.122,0.244,0.427,-63.809,271.695,147.676,1.0000,0.0056,-0.0031,-0.0065,0.09,0.06,0.020,0.7,96034.7,0.00,0.000,0.000,2
7698,-0.051,0.033,1.005,-0.061,0.305,0.244,-63.809,271.695,147.676,0.9956,0.0200,-0.0260,-0.0880,0.10,0.06,0.070,3.8,96038.9,0.00,0.000,0.000,2
7898,-0.049,0.029,1.000,0.000,0.122,0.183,-63.809,271.695,147.676,0.9933,0.0154,-0.0260,-0.1113,0.12,0.07,0.011,3.5,96041.7,0.00,0.000,0.000,2
8098,-0.048,0.030,1.001,-0.061,0.183,0.183,-63.809,271.695,147.676,0.9934,0.0158,-0.0253,-0.1112,0.13,0.07,0.025,3.4,96037.5,0.00,0.000,0.000,2
8298,-0.048,0.031,1.000,0.000,0.122,0.244,-63.809,271.695,147.676,0.9934,0.0160,-0.0255,-0.1111,0.15,0.08,0.016,3.5,96036.9,0.00,0.000,0.000,2
8498,-0.049,0.030,1.002,-0.122,0.244,0.122,-63.809,271.695,147.676,0.9934,0.0159,-0.0253,-0.1111,0.16,0.09,0.035,3.4,96038.3,0.00,0.000,0.000,2
8698,-0.049,0.030,0.998,-0.122,0.183,0.183,-63.809,271.695,147.676,0.9933,0.0158,-0.0258,-0.1112,0.18,0.09,-0.003,3.5,96041.2,0.00,0.000,0.000,2
8898,-0.049,0.029,1.002,-0.061,0.122,0.244,-63.809,271.695,147.676,0.9934,0.0144,-0.0232,-0.1112,0.20,0.10,0.035,3.1,96034.0,0.00,0.000,0.000,2
9098,-0.049,0.032,1.004,-0.122,0.183,0.183,-63.809,271.695,147.676,0.9934,0.0161,-0.0251,-0.1110,0.22,0.11,0.055,3.4,96037.5,0.00,0.000,0.000,2
9298,-0.047,0.031,1.001,0.000,0.183,0.183,-63.809,271.695,147.676,0.9934,0.0158,-0.0259,-0.1110,0.24,0.12,0.025,3.5,96039.7,0.00,0.000,0.000,2
9498,-0.048,0.032,1.001,-0.122,0.244,0.305,-63.809,271.695,147.676,0.9934,0.0161,-0.0247,-0.1109,0.27,0.12,0.030,3.4,96042.4,0.00,0.000,0.000,2
9698,-0.048,0.031,1.004,-0.122,0.244,0.244,-63.809,271.695,147.676,0.9934,0.0158,-0.0241,-0.1108,0.29,0.13,0.054,3.3,96041.8,0.00,0.000,0.000,2
9898,-0.049,0.031,1.000,0.000,0.183,0.244,-63.809,271.695,147.676,0.9934,0.0161,-0.0253,-0.1111,0.32,0.13,0.016,3.4,96035.4,0.00,0.000,0.000,2
10098,-0.048,0.029,1.000,-0.061,0.244,0.305,-63.809,271.695,147.676,0.9934,0.0148,-0.0237,-0.1112,0.35,0.14,0.015,3.2,96037.6,0.00,0.000,0.000,2
10298,-0.047,0.032,0.999,-0.061,0.122,0.244,-63.809,271.695,147.676,0.9934,0.0157,-0.0234,-0.1108,0.38,0.15,0.001,3.2,96038.2,0.00,0.000,0.000,2
10498,-0.049,0.031,1.002,-0.122,0.183,0.305,-63.809,271.695,147.676,0.9933,0.0159,-0.0259,-0.1111,0.41,0.15,0.035,3.5,96039.0,0.00,0.000,0.000,2
10698,-0.049,0.029,1.004,-0.061,0.183,0.183,-63.809,271.695,147.676,0.9934,0.0153,-0.0247,-0.1113,0.44,0.16,0.058,3.3,96037.6,0.00,0.000,0.000,2
