Time[ms],AccX[g],AccY[g],AccZ[g],GyroX[°/s],GyroY[°/s],GyroZ[°/s],MagX[uT],MagY[uT],MagZ[uT],qW,qX,qY,qZ,AltFilt[m],VelFilt[m/s],AccVert[m/s^2],Tilt[°],PressBMP[Pa],Servo[%],PID_Gain,Cd_Gain,Estado
16723,-0.052,-0.051,0.997,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.9994,-0.0239,0.0244,0.0000,0.00,0.00,0.00,3.92,86133.1,0,0.00,0.00,2
16923,-0.052,-0.051,0.997,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.9993,-0.0255,0.0260,0.0000,0.00,0.00,0.00,4.17,86133.1,0,0.00,0.00,2
17123,-0.052,-0.051,0.997,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.9993,-0.0259,0.0264,0.0000,0.00,0.00,0.00,4.25,86133.1,0,0.00,0.00,2
17323,-0.052,-0.051,0.997,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.9993,-0.0260,0.0265,0.0000,0.00,0.00,0.00,4.26,86133.1,0,0.00,0.00,2
17523,-0.052,-0.051,0.997,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.9993,-0.0260,0.0265,0.0000,0.00,0.00,0.00,4.26,86133.1,0,0.00,0.00,2
17723,-0.052,-0.051,0.997,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.9993,-0.0260,0.0264,0.0000,0.00,0.00,0.00,4.25,86133.1,0,0.00,0.00,2
17923,-0.052,-0.051,0.997,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.9993,-0.0259,0.0264,0.0000,0.00,0.00,0.00,4.24,86133.1,0,0.00,0.00,2
18123,-0.052,-0.051,0.997,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.9993,-0.0259,0.0263,0.0000,0.00,0.00,0.00,4.23,86133.1,0,0.00,0.00,2
18323,-0.052,-0.051,0.997,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.9993,-0.0258,0.0263,0.0000,0.00,0.00,0.00,4.22,86133.1,0,0.00,0.00,2
18523,-0.052,-0.051,0.997,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.9993,-0.0258,0.0263,0.0000,0.00,0.00,0.00,4.22,86133.1,0,0.00,0.00,2
18723,-0.052,-0.051,0.997,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.9993,-0.0258,0.0263,0.0000,0.00,0.00,0.00,4.22,86133.1,0,0.00,0.00,2
18923,-0.052,-0.051,0.997,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.9993,-0.0257,0.0262,-0.0000,0.00,0.00,0.00,4.21,86133.1,0,0.00,0.00,2
