Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QW,QX,QY,QZ,AltFilt,VelFilt,AccVertLiq,Tilt,Pressao,Servo,Gain1,Gain2,Estado
4452,-0.047,0.031,1.007,-0.061,0.305,0.183,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.06,0.00,0.072,0.0,96045.8,0.00,0.000,0.000,2
4652,-0.046,0.031,1.004,-0.183,0.244,0.183,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.01,0.00,0.043,0.0,96051.4,0.00,0.000,0.000,2
4852,-0.044,0.030,1.007,-0.122,0.305,0.122,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.05,0.00,0.072,0.0,96048.6,0.00,0.000,0.000,2
5052,-0.044,0.031,1.005,-0.122,0.427,0.183,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.07,0.00,0.048,0.0,96047.9,0.00,0.000,0.000,2
5252,-0.046,0.031,1.008,-0.183,0.305,0.183,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.08,0.00,0.077,0.0,96050.1,0.00,0.000,0.000,2
5452,-0.046,0.031,1.005,-0.122,0.366,0.122,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.08,0.00,0.048,0.0,96047.9,0.00,0.000,0.000,2
5652,-0.044,0.031,1.006,-0.061,0.244,0.244,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.09,0.00,0.057,0.0,96048.6,0.00,0.000,0.000,2
5852,-0.044,0.031,1.005,-0.122,0.244,0.244,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.09,0.00,0.053,0.0,96049.3,0.00,0.000,0.000,2
6052,-0.046,0.033,1.003,-0.183,0.305,0.244,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.09,0.00,0.034,0.0,96049.3,0.00,0.000,0.000,2
6252,-0.045,0.030,1.005,-0.122,0.305,0.183,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.09,0.00,0.053,0.0,96047.3,0.00,0.000,0.000,2
6452,-0.043,0.030,1.007,-0.183,0.244,0.244,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.08,0.00,0.067,0.0,96045.8,0.00,0.000,0.000,2
6652,-0.046,0.031,1.007,-0.061,0.427,0.244,-60.264,260.827,147.676,0.9970,0.0230,-0.0227,-0.0710,-0.08,0.00,0.085,3.7,96046.5,0.00,0.000,0.000,2
6852,-0.045,0.031,1.004,-0.122,0.305,0.183,-60.264,260.827,147.676,0.9937,0.0164,-0.0230,-0.1086,-0.06,0.00,0.053,3.2,96047.9,0.00,0.000,0.000,2
7052,-0.043,0.030,1.006,-0.122,0.305,0.183,-60.264,260.827,147.676,0.9938,0.0147,-0.0210,-0.1085,-0.05,0.00,0.076,2.9,96045.3,0.00,0.000,0.000,2
7252,-0.045,0.031,1.003,-0.183,0.244,0.305,-60.264,260.827,147.676,0.9936,0.0159,-0.0239,-0.1090,-0.04,0.00,0.043,3.3,96049.4,0.00,0.000,0.000,2
7452,-0.046,0.030,1.005,-0.122,0.305,0.122,-60.264,260.827,147.676,0.9936,0.0160,-0.0241,-0.1090,-0.04,0.00,0.067,3.3,96052.3,0.00,0.000,0.000,2
7652,-0.045,0.031,1.008,-0.183,0.366,0.183,-60.264,260.827,147.676,0.9937,0.0164,-0.0238,-0.1087,-0.03,0.00,0.091,3.3,96048.0,0.00,0.000,0.000,2
7852,-0.044,0.031,1.004,-0.122,0.244,0.244,-60.264,260.827,147.676,0.9937,0.0158,-0.0220,-0.1088,-0.04,0.00,0.057,3.1,96052.7,0.00,0.000,0.000,2
8052,-0.044,0.029,1.005,-0.122,0.366,0.122,-60.264,260.827,147.676,0.9936,0.0157,-0.0229,-0.1091,-0.04,0.00,0.066,3.2,96052.2,0.00,0.000,0.000,2
8252,-0.045,0.029,1.007,-0.122,0.427,0.244,-60.264,260.827,147.676,0.9936,0.0154,-0.0228,-0.1091,-0.03,0.00,0.086,3.2,96050.8,0.00,0.000,0.000,2
8452,-0.045,0.030,1.003,-0.061,0.366,0.183,-60.264,260.827,147.676,0.9937,0.0158,-0.0224,-0.1088,-0.02,0.00,0.047,3.1,96041.5,0.00,0.000,0.000,2
8652,-0.045,0.029,1.005,-0.061,0.244,0.183,-60.264,260.827,147.676,0.9937,0.0154,-0.0221,-0.1089,-0.01,0.00,0.062,3.1,96047.2,0.00,0.000,0.000,2
8852,-0.044,0.030,1.008,0.000,0.366,0.122,-56.719,255.394,130.637,0.9940,0.0158,-0.0219,-0.1063,-0.01,0.00,0.090,3.1,96048.6,0.00,0.000,0.000,2
9052,-0.045,0.029,1.007,-0.122,0.305,0.183,-56.719,255.394,130.637,0.9940,0.0154,-0.0254,-0.1050,-0.01,0.00,0.086,3.4,96047.8,0.00,0.000,0.000,2
9252,-0.046,0.031,1.003,-0.061,0.305,0.183,-56.719,255.394,130.637,0.9940,0.0160,-0.0256,-0.1048,-0.02,0.00,0.048,3.5,96051.6,0.00,0.000,0.000,2
9452,-0.047,0.032,1.006,-0.183,0.244,0.244,-56.719,255.394,130.637,0.9940,0.0166,-0.0249,-0.1049,-0.02,0.00,0.073,3.4,96052.1,0.00,0.000,0.000,2
