Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QW,QX,QY,QZ,AltFilt,VelFilt,AccVertLiq,Tilt,Pressao,Servo,Gain1,Gain2,Estado
5479,-0.001,-0.001,1.002,-0.061,0.000,0.000,7.090,244.526,124.957,0.9966,0.0229,-0.0102,0.0787,-0.13,0.00,0.007,2.9,96024.5,0.00,0.000,0.000,2
5679,-0.001,0.000,1.003,-0.122,0.000,0.000,7.090,244.526,124.957,0.9999,-0.0034,0.0023,0.0150,-0.10,0.00,0.033,0.5,96024.5,0.00,0.000,0.000,2
5879,-0.001,-0.001,1.000,0.000,0.000,0.061,7.090,244.526,124.957,0.9999,-0.0053,-0.0007,0.0154,-0.09,0.00,0.004,0.6,96023.8,0.00,0.000,0.000,2
6079,-0.003,0.000,1.003,-0.122,0.061,0.122,7.090,244.526,124.957,0.9999,-0.0042,-0.0038,0.0152,-0.05,0.00,0.028,0.6,96020.4,0.00,0.000,0.000,2
6279,-0.002,-0.001,1.001,-0.061,-0.061,0.122,7.090,244.526,124.957,0.9999,-0.0053,-0.0010,0.0153,-0.05,0.00,0.009,0.6,96023.7,0.00,0.000,0.000,2
6479,-0.003,-0.000,1.001,-0.122,0.000,0.000,7.090,244.526,124.957,0.9999,-0.0048,-0.0036,0.0152,-0.04,0.00,0.009,0.7,96026.7,0.00,0.000,0.000,2
6679,-0.002,-0.001,0.999,-0.061,-0.061,0.061,7.090,244.526,124.957,0.9999,-0.0063,-0.0015,0.0156,-0.02,-0.00,-0.015,0.7,96022.4,0.00,0.000,0.000,2
6879,0.000,0.000,1.001,-0.122,0.000,0.000,7.090,244.526,124.957,0.9998,-0.0063,0.0025,0.0161,-0.02,0.00,0.009,0.8,96024.5,0.00,0.000,0.000,2
7079,-0.001,0.000,1.000,-0.061,-0.183,0.061,7.090,244.526,124.957,0.9998,-0.0073,0.0006,0.0170,-0.03,-0.00,-0.001,0.8,96026.6,0.00,0.000,0.000,2
7279,-0.002,-0.002,1.002,0.000,0.000,0.000,7.090,244.526,124.957,0.9999,-0.0077,-0.0017,0.0154,-0.02,0.00,0.023,0.9,96019.6,0.00,0.000,0.000,2
7479,0.000,0.000,1.001,-0.061,-0.122,0.000,7.090,244.526,124.957,0.9998,-0.0059,0.0038,0.0164,-0.01,0.00,0.009,0.8,96021.7,0.00,0.000,0.000,2
7679,-0.002,0.001,1.002,0.000,-0.061,0.000,7.090,244.526,124.957,0.9998,-0.0042,-0.0066,0.0164,-0.02,0.00,0.018,0.9,96025.9,0.00,0.000,0.000,2
7879,0.000,-0.001,1.001,-0.061,0.000,0.061,7.090,244.526,124.957,0.9999,-0.0065,0.0007,0.0157,-0.02,0.00,0.014,0.7,96028.8,0.00,0.000,0.000,2
