Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QW,QX,QY,QZ,AltFilt,VelFilt,AccVertLiq,Tilt,Pressao,Servo,Gain1,Gain2,Estado
4463,-0.047,0.031,1.005,-0.061,0.305,0.244,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.01,0.00,0.053,0.0,96043.5,0.00,0.000,0.000,2
4663,-0.046,0.030,1.000,-0.061,0.305,0.183,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.01,0.00,-0.000,0.0,96039.4,0.00,0.000,0.000,2
4863,-0.045,0.032,1.002,0.000,0.305,0.122,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.02,0.00,0.024,0.0,96042.2,0.00,0.000,0.000,2
5063,-0.047,0.031,1.001,-0.061,0.244,0.183,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.03,0.00,0.014,0.0,96042.2,0.00,0.000,0.000,2
5263,-0.047,0.030,1.001,-0.183,0.305,0.183,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.02,0.00,0.014,0.0,96038.7,0.00,0.000,0.000,2
5463,-0.047,0.031,1.002,-0.061,0.244,0.183,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.03,0.00,0.024,0.0,96040.7,0.00,0.000,0.000,2
5663,-0.046,0.030,1.004,-0.183,0.244,0.244,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.02,0.00,0.043,0.0,96037.9,0.00,0.000,0.000,2
5863,-0.046,0.031,1.002,-0.061,0.366,0.244,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.01,0.00,0.024,0.0,96044.9,0.00,0.000,0.000,2
6063,-0.046,0.029,1.002,-0.061,0.183,0.183,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.01,0.00,0.024,0.0,96043.6,0.00,0.000,0.000,2
6263,-0.046,0.032,1.000,-0.061,0.244,0.244,-58.491,267.620,167.556,1.0000,0.0016,-0.0014,-0.0022,0.01,0.00,0.002,0.2,96042.2,0.00,0.000,0.000,2
6463,-0.047,0.030,1.005,-0.183,0.305,0.183,-58.491,267.620,167.556,1.0000,0.0034,-0.0028,-0.0046,-0.00,0.00,0.052,0.5,96043.0,0.00,0.000,0.000,2
6663,-0.046,0.030,1.005,-0.061,0.183,0.122,-58.491,267.620,167.556,1.0000,0.0051,-0.0044,-0.0070,0.00,0.00,0.054,0.8,96040.8,0.00,0.000,0.000,2
6863,-0.046,0.030,1.006,-0.061,0.305,0.244,-58.491,267.620,167.556,0.9999,0.0068,-0.0058,-0.0095,0.01,0.00,0.065,1.0,96041.5,0.00,0.000,0.000,2
7063,-0.046,0.032,1.001,-0.061,0.366,0.183,-58.491,267.620,167.556,0.9999,0.0085,-0.0073,-0.0121,0.01,0.00,0.019,1.3,96045.1,0.00,0.000,0.000,2
7263,-0.047,0.032,1.001,-0.061,0.244,0.183,-58.491,267.620,167.556,0.9998,0.0101,-0.0087,-0.0147,0.02,0.00,0.025,1.5,96045.0,0.00,0.000,0.000,2
7463,-0.047,0.031,1.005,-0.122,0.366,0.183,-58.491,267.620,167.556,0.9997,0.0117,-0.0102,-0.0173,0.02,0.00,0.060,1.8,96043.0,0.00,0.000,0.000,2
7663,-0.047,0.028,1.003,-0.122,0.122,0.244,-58.491,267.620,167.556,0.9996,0.0132,-0.0115,-0.0201,0.03,0.00,0.045,2.0,96038.0,0.00,0.000,0.000,2
7863,-0.046,0.030,1.003,-0.183,0.244,0.183,-58.491,267.620,167.556,0.9995,0.0146,-0.0129,-0.0228,0.02,0.00,0.042,2.2,96042.2,0.00,0.000,0.000,2
8063,-0.045,0.031,1.002,-0.122,0.183,0.244,-58.491,267.620,167.556,0.9994,0.0160,-0.0142,-0.0257,0.03,0.00,0.032,2.4,96039.5,0.00,0.000,0.000,2
8263,-0.047,0.032,1.003,-0.183,0.183,0.305,-58.491,267.620,167.556,0.9993,0.0173,-0.0154,-0.0286,0.02,0.00,0.048,2.6,96040.7,0.00,0.000,0.000,2
8463,-0.045,0.031,1.002,0.000,0.366,0.244,-67.353,260.827,159.036,0.9992,0.0184,-0.0164,-0.0317,0.02,0.00,0.033,2.8,96038.6,0.00,0.000,0.000,2
8663,-0.045,0.029,1.001,-0.061,0.305,0.305,-67.353,260.827,159.036,0.9991,0.0195,-0.0173,-0.0348,0.03,0.00,0.027,3.0,96036.6,0.00,0.000,0.000,2
8863,-0.046,0.030,1.004,-0.122,0.305,0.305,-67.353,260.827,159.036,0.9989,0.0205,-0.0182,-0.0379,0.04,0.00,0.052,3.1,96039.5,0.00,0.000,0.000,2
9063,-0.047,0.032,1.001,-0.122,0.183,0.244,-67.353,260.827,159.036,0.9987,0.0214,-0.0190,-0.0410,0.04,0.00,0.024,3.3,96043.8,0.00,0.000,0.000,2
9263,-0.047,0.029,1.003,-0.183,0.244,0.244,-67.353,260.827,159.036,0.9986,0.0221,-0.0197,-0.0443,0.04,0.00,0.047,3.4,96041.0,0.00,0.000,0.000,2
9463,-0.046,0.029,1.002,-0.122,0.305,0.183,-67.353,260.827,159.036,0.9984,0.0227,-0.0205,-0.0475,0.04,0.00,0.037,3.5,96045.8,0.00,0.000,0.000,2
9663,-0.045,0.032,1.005,-0.061,0.305,0.183,-67.353,260.827,159.036,0.9982,0.0233,-0.0212,-0.0508,0.04,0.00,0.061,3.6,96042.2,0.00,0.000,0.000,2
9863,-0.046,0.030,1.003,-0.061,0.305,0.244,-67.353,260.827,159.036,0.9980,0.0237,-0.0219,-0.0541,0.03,0.00,0.046,3.7,96044.3,0.00,0.000,0.000,2
10063,-0.047,0.032,1.004,-0.122,0.427,0.305,-67.353,260.827,159.036,0.9978,0.0240,-0.0225,-0.0575,0.03,0.00,0.057,3.8,96042.2,0.00,0.000,0.000,2
10263,-0.046,0.032,1.002,-0.061,0.305,0.122,-67.353,260.827,159.036,0.9976,0.0242,-0.0230,-0.0608,0.03,0.00,0.033,3.8,96043.0,0.00,0.000,0.000,2
10463,-0.047,0.031,1.003,-0.122,0.305,0.183,-67.353,260.827,159.036,0.9974,0.0241,-0.0234,-0.0642,0.03,0.00,0.047,3.9,96038.1,0.00,0.000,0.000,2
10663,-0.046,0.031,1.002,-0.122,0.244,0.183,-70.898,263.544,164.716,0.9971,0.0241,-0.0238,-0.0675,0.03,0.00,0.032,3.9,96042.9,0.00,0.000,0.000,2
10863,-0.045,0.031,1.004,-0.061,0.183,0.244,-70.898,263.544,164.716,0.9969,0.0241,-0.0241,-0.0708,0.02,0.00,0.056,3.9,96043.0,0.00,0.000,0.000,2
11063,-0.045,0.033,1.000,-0.122,0.305,0.183,-70.898,263.544,164.716,0.9967,0.0239,-0.0243,-0.0741,0.02,0.00,0.019,3.9,96045.8,0.00,0.000,0.000,2
11263,-0.045,0.032,1.000,-0.061,0.244,0.244,-70.898,263.544,164.716,0.9964,0.0236,-0.0246,-0.0774,0.02,0.00,0.013,3.9,96045.2,0.00,0.000,0.000,2
11463,-0.046,0.032,1.006,-0.061,0.244,0.244,-70.898,263.544,164.716,0.9962,0.0232,-0.0248,-0.0807,0.02,0.00,0.071,3.9,96043.7,0.00,0.000,0.000,2
