preamble,status,dataID,timestamp,w_x,w_y,w_z,la_x,la_y,la_z,a_x,a_y,a_z,m_x,m_y,m_z,g_x,g_y,g_z,pressure,altitude,temperature,battery,co2,mp25,mp10,ozonio
JUPITERC,2,0,10088499,-0.107421875,0.3125,-13.69726563,2.64453125,-12.05078125,-0.46875,2.765625,-9.04296875,16.90234375,8.125,29.625,28.625,4.109375,2.8046875,17.4453125,867.0650024,346.4761047,34.39318085,7.633418083,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10088519,-0.30859375,0.009765625,-15.31445313,2.64453125,-12.05078125,-0.46875,1.5,-15.01953125,17.78515625,-18.3125,33.3125,31.5,2.3671875,3.4296875,17.40625,865.7089844,359.5738525,34.3878479,7.63301897,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10088539,-0.333984375,0.3359375,-13.29492188,2.64453125,-12.05078125,-0.46875,8.96875,-8.73828125,17.6640625,-33.625,1.3125,33.875,1.4453125,1.6875,17.421875,865.0325928,366.1134644,34.39035416,7.632911682,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10088559,-0.326171875,0.197265625,-13.24023438,7.375,-10.31640625,0.23046875,7.58984375,-5.25390625,16.6328125,-29.75,-6.125,28.625,1.734375,1.5078125,17.4453125,864.6958008,369.3713989,34.39261246,7.633571148,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10088579,-0.462890625,0.158203125,-13.4140625,4.95703125,-10.8671875,-0.375,7.16796875,-9.234375,17.09375,-27.25,-11.4375,28.625,2.0703125,1.5625,17.4609375,864.1968384,374.2014771,34.38733673,7.633408546,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10088599,-0.556640625,0.16796875,-12.92773438,4.04296875,-11.4296875,-0.61328125,6.44140625,-9.65625,16.859375,-18.5625,-15.8125,28.3125,2.3125,1.6953125,17.46875,863.6348267,379.6419067,34.38502502,7.633262157,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10088619,-0.501953125,0.037109375,-12.00585938,1.8359375,-10.96484375,-0.73046875,4.3359375,-9.04296875,16.74609375,-13.625,-19.4375,27.3125,2.453125,1.84375,17.4765625,863.0916138,384.9026794,34.38294601,7.633634567,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10088639,-0.505859375,-0.052734375,-10.81054688,3.6171875,-12.30859375,-1.01953125,6.2109375,-10.34765625,16.44140625,-5.875,-22.5,26.1875,2.5390625,1.9453125,17.46875,862.4752197,390.8768616,34.38350677,7.633717537,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10088659,-0.34765625,0.087890625,-9.025390625,4.08984375,-12.94921875,-1.2109375,6.82421875,-11.03515625,16.21484375,-0.375,-22.9375,25.75,2.671875,1.9453125,17.4453125,861.8117676,397.310791,34.38401413,7.633540154,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10088679,-0.4375,0.162109375,-7.265625,3.625,-12.77734375,-1.25,6.5546875,-11.03515625,16.13671875,5.8125,-20.5,26,2.828125,1.8515625,17.3984375,861.1346436,403.8821411,34.38446808,7.633380413,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10088699,-0.24609375,0.185546875,-5.765625,6.11328125,-11.21875,-1.4140625,9.31640625,-9.734375,15.91015625,10,-19.8125,25.8125,3.0390625,1.625,17.3515625,860.5463867,409.5947266,34.38244247,7.634245396,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10088719,-0.2578125,0.3828125,-4.35546875,3.01953125,-10.35546875,-1.4375,6.51953125,-9.19921875,15.828125,13.0625,-18.5,25.6875,3.3515625,1.3359375,17.296875,860.0690308,414.2319336,34.38061905,7.633763313,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10088739,-0.24609375,0.33984375,-2.833984375,2.59765625,-10.4140625,-1.26953125,6.40234375,-9.65625,15.9375,14.1875,-16.8125,23.8125,3.6484375,0.9765625,17.2421875,859.6744385,418.0658569,34.3838501,7.633833408,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10088759,-0.134765625,0.375,-1.443359375,0.44921875,-8.51953125,-1.88671875,4.52734375,-8.23828125,15.25,14.8125,-16.375,25.1875,3.9453125,0.5234375,17.1796875,859.2289429,422.3965454,34.38188934,7.633140564,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10088779,-0.021484375,0.447265625,-0.71484375,-1.9140625,-9.26953125,-1.88671875,2.34375,-9.54296875,15.171875,14.9375,-16.5,23.8125,4.1796875,0.0078125,17.109375,858.7477417,427.0760193,34.38012314,7.632769108,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10088799,-0.033203125,0.216796875,-0.28125,-4.55078125,-7.7734375,-2.18359375,-0.22265625,-8.625,14.79296875,16.625,-16.125,23.6875,4.3046875,-0.5546875,17.0234375,858.2989502,431.4436951,34.37853241,7.633191109,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10088819,0.103515625,0.03125,0.154296875,-6.8125,-7.46875,-2.1796875,-2.5234375,-8.9296875,14.6796875,15.125,-15.6875,25.25,4.3203125,-1.15625,16.921875,857.8691406,435.6290588,34.3771019,7.633066177,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10088839,0.0703125,0.03515625,0.333984375,-5.09375,-4.5859375,-2.31640625,-0.953125,-6.6328125,14.40625,14.6875,-14.5625,26.25,4.2265625,-1.765625,16.796875,857.2369995,441.785553,34.3806839,7.632198334,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10088859,0.166015625,-0.154296875,0.48046875,-4.84375,-3.9375,-2.3984375,-0.9140625,-6.515625,14.18359375,15.125,-15.3125,24.75,4.0390625,-2.328125,16.65625,856.6362305,447.6408386,34.37903976,7.632173061,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10088879,0.029296875,-0.302734375,0.791015625,-5.56640625,-2.78125,-2.00390625,-1.83203125,-5.828125,14.40625,14.4375,-14.9375,25.75,3.8359375,-2.8125,16.5,856.0245972,453.6044312,34.37755966,7.631898403,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10088899,0.03515625,-0.26171875,1.263671875,-2.51953125,-1.64453125,-2.0234375,0.96484375,-5.13671875,14.21875,14.0625,-15.9375,26.6875,3.609375,-3.2734375,16.328125,855.3481445,460.204834,34.37622452,7.631399155,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10088919,-0.123046875,-0.361328125,1.888671875,-0.5703125,-0.44140625,-2.11328125,2.6875,-4.33203125,13.94921875,14.5,-16.4375,24.75,3.3671875,-3.6875,16.1484375,854.5213013,468.2769775,34.37502289,7.631958008,-1120744192,-134217840,128.0001068,249.4020691
JUPITERC,2,0,10088967,-0.154296875,-0.18359375,2.609375,1.203125,0.453125,-2.3359375,4.1796875,-3.8359375,13.53515625,12.0625,-17.4375,24.875,3.1171875,-4.09375,15.96875,854.1749268,471.6617432,34.37394333,7.632208824,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10088986,-0.24609375,-0.04296875,4.55859375,3.09375,-0.46484375,-1.96875,4.10546875,-8.66015625,13.53125,11.4375,-18.875,24.375,2.515625,-4.859375,15.59375,852.4230347,488.7915955,34.37784195,7.631678104,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10089006,-0.302734375,0.015625,5.365234375,3.02734375,-3.98828125,-1.8203125,4.87109375,-9.46484375,13.49609375,8.0625,-19.9375,23.5625,2.0859375,-5.2578125,15.40625,851.9244385,493.67453,34.3764801,7.631704807,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10089026,-0.21875,0.103515625,6.12890625,3.68359375,-4.35546875,-1.41015625,2.265625,-12.33984375,13.71875,4.875,-20.5625,24.1875,1.578125,-5.6953125,15.2109375,851.635376,496.5043945,34.37525558,7.631980896,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10089046,-0.1015625,-0.01953125,6.587890625,1.71875,-6.00390625,-1.24609375,-0.1875,-13.41015625,13.4921875,3.9375,-22.375,23.6875,0.9140625,-6.1328125,15.0546875,851.3729248,499.0753479,34.37658691,7.632229328,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10089066,-0.03125,-0.15625,6.94921875,-0.5859375,-6.78515625,-1.23046875,-0.8359375,-13.48828125,13.60546875,0.125,-24.75,24.3125,0.1640625,-6.5234375,14.90625,850.947876,503.239563,34.37778473,7.631948948,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10089086,0.0625,-0.232421875,7.365234375,-0.20703125,-6.05859375,-1.49609375,-1.41015625,-13.02734375,13.22265625,-5.75,-24,23.75,-0.7109375,-6.8515625,14.7734375,850.3920898,508.6905823,34.37643051,7.632200718,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10089106,-0.021484375,-0.40625,7.767578125,1.08203125,-5.4296875,-1.5390625,-0.5703125,-13.48828125,13.18359375,-9.25,-22.9375,23.625,-1.703125,-7.0546875,14.65625,849.8292236,514.2102661,34.37277603,7.631670952,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10089126,-0.0078125,-0.609375,8.17578125,2.6796875,-6.41015625,-1.33203125,-0.64453125,-12.109375,12.83984375,-14.625,-20.5625,26.875,-2.7265625,-7.109375,14.5625,849.1756592,520.6257324,34.37435532,7.631950378,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10089146,-0.01953125,-0.53515625,8.509765625,5.91015625,-5.74609375,-1.63671875,1.65234375,-12.60546875,12.796875,-17.625,-19.1875,24.8125,-3.75,-7,14.4765625,848.4679565,527.5748901,34.37334061,7.632202148,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10089166,-0.10546875,-0.634765625,8.875,6.6328125,-6.3984375,-1.3359375,3.4140625,-13.3359375,12.5703125,-23.25,-16.625,25.3125,-4.71875,-6.6953125,14.390625,847.8195801,533.9454346,34.37242889,7.632428646,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10089186,-0.150390625,-0.572265625,9.2421875,9.3671875,-7.3828125,-1.7265625,5.17578125,-14.71484375,12.609375,-27.125,-13.6875,26.1875,-5.5859375,-6.2265625,14.3359375,847.1069336,540.9553833,34.37647629,7.632380009,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10089206,-0.177734375,-0.5234375,9.720703125,10.84375,-10.0234375,-1.45703125,4.2578125,-15.37109375,12.76171875,-29.25,-10.125,26.5,-6.2734375,-5.6640625,14.2578125,846.5021973,546.9031372,34.37525177,7.632588863,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10089226,-0.216796875,-0.560546875,10.20117188,11.94921875,-12.82421875,-1.39453125,4.87109375,-17.5078125,12.76171875,-31.5,-3.625,28.4375,-6.8515625,-5.0234375,14.1875,846.0021362,551.8283081,34.37414932,7.632776737,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10089246,-0.05859375,-0.458984375,10.73242188,11.89453125,-14.359375,-1.40625,3.4921875,-19.65625,12.953125,-35.0625,1.8125,28.875,-7.2734375,-4.34375,14.125,845.5854492,555.9317627,34.37559128,7.632693291,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10089266,-0.08984375,-0.58984375,11.10351563,11.2109375,-16.359375,-1.0859375,2.41796875,-21.453125,12.609375,-35.875,7.875,29.375,-7.6015625,-3.640625,14.0625,845.1663818,560.0616455,34.37689209,7.632870674,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10089286,-0.0859375,-0.55078125,11.41015625,10.35546875,-18.921875,-1.2734375,2.45703125,-21.61328125,12.7265625,-33.25,13.625,31.375,-7.8203125,-2.984375,14.0234375,844.7613525,564.0541382,34.37562561,7.633030415,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10089306,0.01171875,-0.6484375,11.4609375,9.66796875,-19.26171875,-1.4140625,1.65234375,-21.37890625,12.5703125,-30.875,18.875,31.0625,-7.96875,-2.390625,13.984375,844.3297729,568.3082275,34.37448502,7.632669926,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10089326,0.005859375,-0.76171875,11.48242188,8.67578125,-20.078125,-1.47265625,1.73046875,-20.9140625,12.37890625,-27.8125,24.875,30.6875,-8.0546875,-1.8828125,13.96875,843.8106689,573.4289551,34.36859131,7.632597446,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10089346,-0.029296875,-0.6953125,11.43554688,9.86328125,-19.77734375,-1.58984375,1.65234375,-21.03515625,12.2265625,-22.625,27.9375,30.125,-8.1171875,-1.3671875,13.9765625,843.3353882,578.121582,34.36815643,7.632784367,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10089366,-0.08984375,-0.828125,11.34375,9.1171875,-20.22265625,-1.7421875,1,-20.95703125,12.2265625,-17.625,31.1875,31.8125,-8.1328125,-0.9453125,13.96875,842.7434082,583.9663086,34.36776352,7.632700443,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10089386,-0.05078125,-0.9140625,11.40625,10.34375,-20.90625,-2.02734375,2.7265625,-21.37890625,12.41796875,-12,33.4375,30.1875,-8.09375,-0.5390625,13.9765625,842.1260986,590.0673218,34.36740875,7.63312912,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10089406,-0.1328125,-0.86328125,11.56640625,10.6171875,-21.35546875,-1.58984375,1.99609375,-22.45703125,11.8828125,-4.8125,33.8125,31.5625,-7.9765625,-0.1875,14,841.5217285,596.0415039,34.36952591,7.633010387,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10089426,-0.2109375,-0.90625,11.75585938,11.01953125,-24.15625,-1.93359375,3.30078125,-23.94921875,12.07421875,1.4375,30.1875,30.9375,-7.8046875,0.125,14.0078125,841.0109253,601.0935059,34.36899567,7.632903576,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10089446,-0.205078125,-0.8671875,11.94140625,10.59375,-25.140625,-1.8203125,3.109375,-24.7109375,12.1875,7.1875,28.5625,27.6875,-7.6015625,0.3359375,14.015625,840.4844971,606.3040771,34.36851883,7.632555962,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,0,10089466,-0.08203125,-0.875,12.09570313,9.42578125,-25.91796875,-2.05078125,2.6484375,-26.9296875,12.1875,14.5,23.8125,27.9375,-7.375,0.5,14.0078125,840.1018066,610.0931396,34.36808777,7.632747173,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10089486,-0.169921875,-0.791015625,12.1875,9.75,-27.50390625,-1.8046875,1.9609375,-26.46875,11.8828125,18.6875,17.0625,29.125,-7.1796875,0.578125,14,839.7399902,613.6787109,34.36526489,7.632919312,267.2062378,249.4020691,249.6300507,6.26587677
