Time[ms],AccX[g],AccY[g],AccZ[g],GyroX[°/s],GyroY[°/s],GyroZ[°/s],MagX[uT],MagY[uT],MagZ[uT],qW,qX,qY,qZ,AltFilt[m],VelFilt[m/s],AccVert[m/s^2],Tilt[°],PressBMP[Pa],Servo[%],PID_Gain,Cd_Gain,Estado
38272,0.005,-0.003,0.996,0.122,0.061,-0.061,13.300,23.654,-50.805,1.0000,-0.0013,-0.0021,0.0001,-0.00,-0.00,0.00,0.28,91898.2,0,0.00,0.00,2
38472,0.003,-0.001,0.997,0.183,0.000,0.061,12.447,25.279,-49.234,1.0000,-0.0012,-0.0023,0.0002,-0.00,-0.00,0.00,0.30,91898.9,0,0.00,0.00,2
38672,0.003,-0.002,0.998,-0.000,-0.061,0.061,14.323,24.738,-50.456,1.0000,-0.0012,-0.0022,0.0003,-0.00,-0.00,0.00,0.29,91898.2,0,0.00,0.00,2
38872,0.003,-0.002,0.998,0.061,0.000,-0.000,12.277,25.460,-49.757,1.0000,-0.0012,-0.0022,0.0003,-0.00,-0.00,0.00,0.29,91894.1,0,0.00,0.00,2
39072,0.003,-0.003,0.998,0.122,0.061,-0.000,16.539,24.918,-49.932,1.0000,-0.0012,-0.0021,0.0004,-0.06,-0.00,0.00,0.28,91895.4,0,0.00,0.00,2
39272,0.005,-0.003,0.999,-0.000,0.000,0.122,14.152,24.918,-49.583,1.0000,-0.0012,-0.0020,0.0004,-0.17,-0.00,0.00,0.27,91900.2,0,0.00,0.00,2
39472,0.004,-0.002,0.996,0.122,0.000,0.061,13.129,25.640,-49.932,1.0000,-0.0012,-0.0021,0.0005,-0.23,-0.00,0.00,0.27,91899.6,0,0.00,0.00,2
39672,0.004,-0.003,1.000,0.122,0.061,-0.000,14.493,24.196,-48.884,1.0000,-0.0011,-0.0021,0.0006,-0.29,-0.00,0.00,0.27,91901.6,0,0.00,0.00,2
39872,0.004,-0.002,1.000,0.061,0.000,0.061,13.982,25.460,-47.662,1.0000,-0.0011,-0.0021,0.0007,-0.32,-0.00,0.00,0.26,91896.2,0,0.00,0.00,2
40072,0.004,-0.002,0.998,0.061,0.000,-0.000,15.516,24.557,-49.583,1.0000,-0.0010,-0.0021,0.0007,-0.32,-0.00,0.00,0.26,91896.2,0,0.00,0.00,2
40272,0.003,-0.002,0.999,0.122,-0.061,0.061,15.516,24.196,-49.932,1.0000,-0.0010,-0.0021,0.0008,-0.33,-0.00,0.00,0.27,91897.5,0,0.00,0.00,2
40472,0.004,-0.002,0.997,-0.000,0.061,0.061,14.493,26.002,-48.884,1.0000,-0.0009,-0.0021,0.0008,-0.33,-0.00,0.00,0.27,91895.5,0,0.00,0.00,2
40672,0.003,-0.003,0.998,-0.000,-0.061,-0.000,13.811,26.363,-49.234,1.0000,-0.0009,-0.0021,0.0009,-0.32,-0.00,0.00,0.26,91894.9,0,0.00,0.00,2
40872,0.004,-0.003,0.999,0.122,0.000,0.061,15.005,24.015,-49.408,1.0000,-0.0009,-0.0021,0.0009,-0.33,-0.00,0.00,0.26,91896.9,0,0.00,0.00,2
41072,0.003,-0.003,0.996,0.061,0.000,0.061,15.175,23.474,-49.583,1.0000,-0.0008,-0.0021,0.0010,-0.32,-0.00,0.00,0.25,91896.2,0,0.00,0.00,2
41272,0.004,-0.003,0.997,0.061,0.000,-0.000,12.959,25.099,-49.408,1.0000,-0.0008,-0.0020,0.0010,-0.31,-0.00,0.00,0.25,91898.2,0,0.00,0.00,2
41472,0.001,-0.003,0.998,0.061,0.000,0.061,14.834,23.835,-49.583,1.0000,-0.0007,-0.0020,0.0011,-0.32,-0.00,0.00,0.25,91900.3,0,0.00,0.00,2
41672,0.004,-0.004,0.998,-0.000,0.000,-0.000,15.005,25.099,-49.757,1.0000,-0.0007,-0.0020,0.0012,-0.31,-0.00,0.00,0.24,91899.0,0,0.00,0.00,2
41872,0.002,-0.003,0.999,0.061,-0.061,0.122,13.811,24.557,-50.281,1.0000,-0.0007,-0.0020,0.0012,-0.31,-0.00,0.00,0.25,91898.3,0,0.00,0.00,2
42072,0.004,-0.003,0.996,0.122,0.061,0.061,13.982,24.376,-48.710,1.0000,-0.0006,-0.0020,0.0013,-0.31,-0.00,0.00,0.24,91899.0,0,0.00,0.00,2
42272,0.003,-0.001,0.999,0.061,0.000,0.122,14.664,25.821,-49.059,1.0000,-0.0007,-0.0019,0.0013,-0.31,-0.00,0.00,0.23,91901.0,0,0.00,0.00,2
42472,0.005,-0.004,0.997,0.061,0.000,0.061,15.005,23.654,-49.757,1.0000,-0.0006,-0.0019,0.0014,-0.30,-0.00,0.00,0.23,91900.3,0,0.00,0.00,2
42672,0.004,-0.003,0.997,0.061,0.000,0.061,13.982,24.376,-49.408,1.0000,-0.0006,-0.0020,0.0015,-0.29,-0.00,0.00,0.23,91893.5,0,0.00,0.00,2
42872,0.006,-0.002,0.997,0.061,0.000,-0.000,14.664,24.376,-49.757,1.0000,-0.0006,-0.0020,0.0015,-0.29,-0.00,0.00,0.24,91900.4,0,0.00,0.00,2
43072,0.003,-0.001,0.995,0.122,0.061,0.122,13.982,25.099,-49.059,1.0000,-0.0005,-0.0019,0.0016,-0.29,-0.00,0.00,0.23,91901.1,0,0.00,0.00,2
43272,0.000,-0.005,0.998,0.061,-0.061,-0.000,13.470,24.918,-49.932,1.0000,-0.0006,-0.0020,0.0017,-0.28,-0.00,0.00,0.24,91899.0,0,0.00,0.00,2
43472,0.003,-0.005,0.997,0.061,-0.061,-0.000,14.493,24.557,-50.630,1.0000,-0.0006,-0.0020,0.0018,-0.27,-0.00,0.00,0.23,91895.6,0,0.00,0.00,2
43672,0.002,-0.003,0.998,0.061,0.061,0.061,14.152,26.724,-49.932,1.0000,-0.0006,-0.0020,0.0018,-0.26,-0.00,0.00,0.23,91899.7,0,0.00,0.00,2
43872,0.005,-0.001,0.996,-0.000,-0.061,-0.061,13.129,24.557,-48.535,1.0000,-0.0006,-0.0020,0.0018,-0.25,-0.00,0.00,0.24,91897.6,0,0.00,0.00,2
44072,0.004,-0.003,0.997,0.061,0.000,0.061,15.346,25.460,-48.361,1.0000,-0.0006,-0.0020,0.0019,-0.24,-0.00,0.00,0.23,91897.0,0,0.00,0.00,2
44272,0.004,-0.004,0.997,0.061,0.000,0.061,13.641,25.460,-48.710,1.0000,-0.0006,-0.0020,0.0020,-0.23,-0.00,0.00,0.24,91896.3,0,0.00,0.00,2
