# Time (s), Altitude AGL (m), Vz (m/s)
0.000000,0.000000,0.000000
0.010000,-0.000000,-0.000000
0.020000,0.000000,0.000000
0.030000,-0.000000,-0.000000
0.040000,-0.000000,-0.000000
0.050000,0.000000,0.000000
0.060000,0.000000,0.000000
0.070000,-0.000000,-0.000000
0.080000,-0.000000,-0.000000
0.090000,0.000000,0.000000
0.100000,0.000000,0.000000
0.110000,0.000000,0.000000
0.120000,0.000000,0.000000
0.130000,0.000000,0.000000
0.140000,0.000000,0.000000
0.150000,0.000000,0.000000
0.160000,0.000000,0.000000
0.170000,0.000000,0.000000
0.180000,0.000000,0.000000
0.190000,0.000000,0.000000
0.200000,0.000000,0.000000
0.210000,0.000000,0.000000
0.220000,0.000000,0.000000
0.230000,0.000000,0.000000
0.240000,0.000000,0.000000
0.250000,0.000000,0.000000
0.260000,0.000000,0.000000
0.270000,0.000000,0.000000
0.280000,0.000000,0.000000
0.290000,0.000000,0.000000
0.300000,0.000000,0.000000
0.310000,-0.000000,-0.000000
0.320000,-0.000000,-0.000000
0.330000,-0.000000,-0.000000
0.340000,-0.000000,-0.000000
0.350000,-0.000000,-0.000000
0.360000,-0.000000,-0.000000
0.370000,-0.000000,-0.000000
0.380000,-0.000000,-0.000000
0.390000,-0.000000,-0.000000
0.400000,-0.000000,-0.000000
0.410000,-0.000000,-0.000000
0.420000,-0.000000,-0.000000
0.430000,-0.000000,-0.000000
0.440000,-0.000000,-0.000000
0.450000,-0.000000,-0.000000
0.460000,-0.000000,-0.000000
0.470000,-0.000000,-0.000000
0.480000,-0.000000,-0.000000
0.490000,-0.000000,-0.000000
0.500000,-0.000000,-0.000000
0.510000,-0.000000,-0.000000
0.520000,-0.000000,-0.000000
0.530000,0.000000,0.000000
0.540000,-0.000000,-0.000000
0.550000,-0.000000,-0.000000
0.560000,0.000000,0.000004
0.570000,-0.000000,-0.000131
0.580000,0.000028,0.007882
0.590000,0.000246,0.039174
0.600000,0.000893,0.096356
0.610000,0.002230,0.179460
0.620000,0.004521,0.288473
0.630000,0.008033,0.423385
0.640000,0.013032,0.584185
0.650000,0.019779,0.770889
0.660000,0.028532,0.983526
0.670000,0.039546,1.222130
0.680000,0.053080,1.486729
0.690000,0.069390,1.777208
0.700000,0.088736,2.093798
0.710000,0.111321,2.423305
0.720000,0.137202,2.752742
0.730000,0.166376,3.082108
0.740000,0.198842,3.411400
0.750000,0.234600,3.740619
0.760000,0.273649,4.069763
0.770000,0.315989,4.398831
0.780000,0.361620,4.727824
0.790000,0.410541,5.056739
0.800000,0.462752,5.385578
0.810000,0.518251,5.714340
0.820000,0.577037,6.043026
0.830000,0.639108,6.371638
0.840000,0.704463,6.700176
0.850000,0.773100,7.028641
0.860000,0.845020,7.357032
0.870000,0.920225,7.685352
