time,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_T,mag_y_T,mag_z_T,pressure_Pa
0.00000000,0.51235916,-0.50278235,-9.77791958,-0.00106526,0.00000000,-0.00319579,0.00000060,-0.00001980,-0.00001440,86133.12000000
0.02000000,0.49320554,-0.49320554,-9.75876597,-0.00000000,-0.00213053,-0.00106526,0.00000060,-0.00001980,-0.00001440,86134.08000000
0.04000000,0.50757075,-0.49799395,-9.73003555,0.00106526,-0.00106526,-0.00106526,-0.00000180,-0.00001980,-0.00001440,86142.72000000
0.06000000,0.51714756,-0.49320554,-9.74440076,-0.00000000,0.00000000,-0.00213053,-0.00000000,-0.00001800,-0.00001440,86140.00000000
0.08000000,0.49320554,-0.47405193,-9.75397756,-0.00000000,0.00000000,-0.00213053,-0.00000060,-0.00001920,-0.00001380,86135.68000000
0.10000000,0.51235916,-0.49799395,-9.76355437,-0.00000000,-0.00106526,-0.00213053,-0.00000000,-0.00001980,-0.00001380,86128.64000000
0.12000000,0.51714756,-0.50757075,-9.77313118,-0.00000000,0.00000000,-0.00106526,0.00000120,-0.00001920,-0.00001500,86140.00000000
0.14000000,0.50278235,-0.48362874,-9.77791958,-0.00000000,0.00000000,-0.00106526,-0.00000060,-0.00001680,-0.00001260,86130.08000000
0.16000000,0.50278235,-0.48841714,-9.76355437,-0.00106526,-0.00106526,-0.00319579,-0.00000060,-0.00001800,-0.00001440,86121.92000000
0.18000000,0.51235916,-0.47405193,-9.74440076,-0.00000000,-0.00106526,-0.00213053,-0.00000000,-0.00002040,-0.00001320,86131.04000000
0.20000000,0.49320554,-0.48362874,-9.79228479,-0.00106526,0.00106526,-0.00213053,-0.00000060,-0.00001860,-0.00001320,86131.20000000
0.22000000,0.49799395,-0.49320554,-9.72524714,0.00106526,-0.00213053,-0.00106526,-0.00000060,-0.00002040,-0.00001380,86128.64000000
0.24000000,0.50757075,-0.48841714,-9.73482395,0.00106526,-0.00106526,-0.00213053,-0.00000060,-0.00001920,-0.00001500,86143.20000000
0.26000000,0.47405193,-0.47405193,-9.80186160,0.00106526,-0.00213053,-0.00213053,0.00000060,-0.00001980,-0.00001440,86142.24000000
0.28000000,0.48362874,-0.48841714,-9.77313118,-0.00000000,-0.00106526,-0.00426106,-0.00000060,-0.00001860,-0.00001380,86124.48000000
0.30000000,0.49799395,-0.49320554,-9.74918916,-0.00000000,0.00000000,-0.00319579,-0.00000000,-0.00001800,-0.00001500,86144.80000000
0.32000000,0.52672437,-0.49320554,-9.70130513,0.00106526,0.00000000,-0.00106526,-0.00000000,-0.00001920,-0.00001380,86134.08000000
0.34000000,0.49320554,-0.49320554,-9.74918916,0.00213053,-0.00106526,-0.00106526,-0.00000360,-0.00001980,-0.00001500,86130.88000000
0.36000000,0.50278235,-0.48841714,-9.73482395,-0.00000000,-0.00213053,-0.00213053,-0.00000060,-0.00001920,-0.00001380,86121.76000000
0.38000000,0.49320554,-0.50278235,-9.76834277,-0.00000000,-0.00106526,-0.00213053,-0.00000000,-0.00001800,-0.00001440,86132.32000000
0.40000000,0.52193596,-0.47405193,-9.74918916,0.00106526,0.00000000,-0.00106526,-0.00000180,-0.00002040,-0.00001500,86134.72000000
0.42000000,0.52193596,-0.47884033,-9.75876597,0.00106526,-0.00106526,-0.00106526,-0.00000000,-0.00002040,-0.00001500,86135.68000000
0.44000000,0.51235916,-0.49320554,-9.73961235,0.00213053,0.00106526,-0.00213053,-0.00000060,-0.00001920,-0.00001380,86142.56000000
0.46000000,0.49799395,-0.48362874,-9.80665000,-0.00000000,-0.00106526,-0.00426106,-0.00000000,-0.00001920,-0.00001380,86136.16000000
0.48000000,0.49320554,-0.47884033,-9.74440076,-0.00000000,0.00000000,-0.00106526,-0.00000180,-0.00001920,-0.00001440,86126.72000000
0.50000000,0.50757075,-0.49799395,-9.74440076,-0.00106526,-0.00213053,-0.00106526,0.00000180,-0.00001800,-0.00001500,86138.72000000
0.52000000,0.50278235,-0.50278235,-9.73961235,-0.00213053,-0.00106526,-0.00106526,-0.00000120,-0.00001800,-0.00001500,86116.96000000
0.54000000,0.51235916,-0.50278235,-9.78270798,-0.00000000,-0.00213053,-0.00213053,0.00000120,-0.00001920,-0.00001380,86132.64000000
0.56000000,0.53630117,-0.49320554,-9.80186160,0.00106526,0.00106526,-0.00106526,0.00000060,-0.00001740,-0.00001500,86139.04000000
0.58000000,0.52672437,-0.47884033,-12.66532678,-0.00000000,0.00000000,-0.00213053,-0.00000060,-0.00001920,-0.00001380,86135.84000000
0.60000000,0.50278235,-0.50757075,-18.31085430,0.00106526,-0.00106526,-0.00532632,-0.00000060,-0.00001980,-0.00001440,86132.48000000
0.62000000,0.49799395,-0.48841714,-23.98511223,0.00106526,-0.00106526,-0.00532632,-0.00000240,-0.00001980,-0.00001320,86132.64000000
0.64000000,0.51714756,-0.46926353,-29.68331218,-0.00000000,-0.00319579,-0.00426106,-0.00000060,-0.00002040,-0.00001320,86135.04000000
0.66000000,0.51235916,-0.49799395,-35.32405129,-0.00106526,-0.00319579,-0.00639159,-0.00000000,-0.00001860,-0.00001380,86143.52000000
0.68000000,0.52193596,-0.49799395,-41.05098167,-0.00000000,-0.00106526,-0.00639159,-0.00000120,-0.00001920,-0.00001380,86128.32000000
0.70000000,0.50278235,-0.49320554,-46.72523960,-0.00106526,-0.00106526,-0.00852212,-0.00000060,-0.00001860,-0.00001440,86126.56000000
0.72000000,0.49799395,-0.48841714,-46.69650918,-0.00106526,-0.00319579,-0.00852212,-0.00000120,-0.00001860,-0.00001440,86130.88000000
0.74000000,0.48841714,-0.48841714,-46.68214397,0.00106526,-0.00106526,-0.00852212,-0.00000120,-0.00001800,-0.00001320,86134.56000000
0.76000000,0.52672437,-0.49799395,-46.64862515,-0.00000000,-0.00106526,-0.00852212,0.00000120,-0.00001920,-0.00001440,86130.08000000
0.78000000,0.50757075,-0.48841714,-46.61510632,-0.00106526,-0.00106526,-0.00745685,-0.00000000,-0.00001980,-0.00001380,86121.44000000
0.80000000,0.49320554,-0.47405193,-46.62947153,-0.00106526,-0.00106526,-0.00745685,-0.00000000,-0.00001860,-0.00001440,86132.32000000
