Altitude (m),Velocidade (m/s)
0,0.0
1,8.901212924494526
2,14.444299951614912
3,19.071983523122856
4,23.160449344627892
5,26.859666078337565
6,30.25707679132409
7,33.41518636290351
8,36.37890747414964
9,39.19420260216068
10,41.88454342651608
11,44.46647998133416
12,46.95188425300185
13,49.351750064483376
14,51.673948409182536
15,53.925370932457554
16,56.111947099895545
17,58.23628483150928
18,60.302118987724164
19,62.31634266942324
20,64.27899547032003
21,66.19429652883532
22,68.06548313706934
23,69.89452919727614
24,71.68380950088533
25,73.43767354294111
26,75.15142946393478
27,76.83315714086822
28,78.48420736710506
29,80.10158939841277
30,81.69106472895167
31,83.2542092278818
32,84.79201187685213
33,86.30455923361075
34,87.79154533606679
35,89.25591829772797
36,90.6985714096417
37,92.12058183420534
38,93.52308712633769
39,94.90725376565862
40,96.27405474811975
41,97.6241553048552
42,98.95810078934704
43,100.2764559584987
44,101.57979091229934
45,102.86861624074164
46,104.14331595955349
47,105.40421939925837
48,106.65165457264278
49,107.88595758930347
50,109.10750570988354
51,110.31674189680542
52,111.5141326598255
53,112.70010803473563
54,113.8750634546544
55,115.03817678044695
56,116.19043821720604
57,117.33280564759447
58,118.46566850400454
59,119.58940035722202
60,120.7043509567111
61,121.81058258851274
62,122.90658750192517
63,123.99463743615374
64,125.07496298419936
65,126.14777872393988
66,127.21323138145513
67,128.2689430850407
68,129.3177196846875
69,130.35976857956894
70,131.39529237190143
71,132.42266202784634
72,133.442840621394
73,134.45709701815133
74,135.46560368422726
75,136.4664248374881
76,137.46071496671823
77,138.44965600923211
78,139.43336106570948
79,140.40874563815717
80,141.37921951436587
81,142.34492239620866
82,143.3040235411974
83,144.25716806577074
84,145.20592616348787
85,146.1492850689899
86,147.0860618507342
87,148.01878038835548
88,148.94679377820336
89,149.8679663583134
90,150.7853168655679
91,151.69812463487122
92,152.6040716271084
93,153.5063192528133
94,154.4036180361187
95,155.29444688061665
96,156.18179222982326
97,157.0635111908108
98,157.9397298292335
99,158.8126887478292
100,159.67887333016503
101,160.54087213756276
102,161.39923402588016
103,162.25028443277782
104,163.09831491015026
105,163.9407912309654
106,164.77778808511496
107,165.61191264633482
108,166.4378314223826
109,167.26069859864603
110,168.07810956057332
111,168.88973648637366
112,169.6986683466829
113,170.4991098410803
114,171.29698755430826
115,172.0886995389929
116,172.87547692008403
117,173.65854032371692
118,174.4343530367637
119,175.20796133153743
120,175.9737660011558
121,176.7366999556993
122,177.49398137756705
123,178.24651169052376
124,178.9953882501884
125,179.7377905455234
126,180.47837061672547
127,181.21090448987886
128,181.94191307836653
129,182.66621665843599
130,183.3877815038741
131,184.10416391965566
132,184.8166019450822
133,185.52521614289648
134,186.22877028538377
135,186.92967838489764
136,187.62452593018827
137,188.31778574514226
138,189.00412152970713
139,189.68962969942925
140,190.36786766460975
141,191.04521490424244
142,191.7161342035575
143,192.38555992023362
144,193.0492160549636
145,193.7108556202556
146,194.36722496024092
147,195.02116722517724
148,195.6702931650509
149,196.31669570061138
150,196.95866775814753
151,197.59771801764413
152,198.23262656924513
153,198.8644985536325
154,199.4924105033117
155,200.11721589198999
156,200.73809667109586
157,201.35589122663853
158,201.96971245553925
159,202.58055520657882
160,203.18728649272526
161,203.7911912913633
162,204.3906877881466
163,204.9876516127758
164,205.57989085737316
165,206.17000960041605
166,206.7550628234183
167,207.3384569797158
168,207.91626736251794
169,208.49296725070957
170,209.0634229749172
171,209.6334225997826
172,210.1963958884265
173,210.75936917707045
174,211.31507141513393
175,211.87046311906934
176,212.41955204533744
177,212.96748784080134
178,213.5101670572435
179,214.05080149076764
180,214.58713004378592
181,215.12037813931678
182,215.65030680715716
183,216.17591442675507
184,216.69938436533727
185,217.2172058301296
186,217.73423810517633
187,218.244423259814
188,218.75460841445167
189,219.25793141093527
190,219.76066543261416
191,220.25804294024076
192,220.75341388394767
193,221.24491212727287
194,221.7328788281108
195,222.21855608564573
196,222.6990829345922
197,223.1790006758078
198,223.65206863652142
199,224.12513659723504
200,224.59190330878513
201,225.0575137992298
202,225.5186824846195
203,225.97686187708885
204,226.4325299365236
205,226.88332524886792
206,227.3335914264351
207,227.7770566824383
208,228.2205219384415
209,228.658268124823
210,229.09453152009945
211,229.52728915248755
212,229.95662402568186
213,230.38455153129144
214,230.8071184896579
215,231.2296854480244
216,231.6461754662296
217,232.06199098151365
218,232.4737674648113
219,232.88264959093868
220,233.28975839754932
221,233.6916979005319
222,234.09363740351446
223,234.4894996325801
224,234.8848251139498
225,235.27651700197313
226,235.6655004364051
227,236.05314911863007
228,236.43600452368338
229,236.81885992873669
230,237.1966395630792
231,237.57354851125996
232,237.9476827008152
233,238.31881508986478
234,238.68939675580376
235,239.05492239391774
236,239.4204480320317
237,239.78213456551063
238,240.14223246503818
239,240.50069901078277
240,240.85549529812815
241,241.21029158547353
242,241.56049865561909
243,241.91019305205253
244,242.25750805210512
245,242.6022743254681
246,242.94675421841578
247,243.28655911803418
248,243.62636401765258
249,243.96304830771595
250,244.29785469769644
251,244.63175708155933
252,244.96161470452122
253,245.2914723274831
254,245.61782183024886
255,245.94289288979078
256,246.2666804404494
257,246.58708609505328
258,246.9074917496572
259,247.22401563951848
260,247.53962525579792
261,247.85352704003904
262,248.16405037146347
263,248.4745737028879
264,248.78065511652036
265,249.08597968973368
266,249.3894278460433
267,249.6896173473277
268,249.98980684861206
269,250.28561030155439
270,250.58075174746725
271,250.87405612399192
272,251.16416261325477
273,251.45426910251766
274,251.74006100132218
275,252.02511249491022
276,252.30846734716877
277,252.58845369545918
278,252.86844004374962
279,253.1443580836835
280,253.41931731707382
281,253.6929014021627
282,253.96288835689882
283,254.23287531163493
284,254.49923922515583
285,254.7643098752403
286,255.02845466677243
287,255.2886657026814
288,255.54887673859042
289,255.80604364300254
290,256.06147882901973
291,256.3165473950318
292,256.5672636302687
293,256.8179798655056
294,257.066315297007
295,257.31237693398685
296,257.5584385709667
297,257.8001990224495
298,258.041679647393
299,258.28151305513705
300,258.51841882651627
301,258.75532459789554
302,258.9886725296895
303,259.2209877002441
