# Time (s), Pressure (Pa), Az (m/s²), Attitude Angle (°)
0.000000,86154.899922,0.000000,86.000000
0.020000,86154.899922,-0.000000,86.000000
0.040000,86154.899922,-0.000000,86.000000
0.060000,86154.899922,0.000000,86.000000
0.080000,86154.899922,-0.000000,86.000000
0.100000,86154.899922,-0.000000,86.000000
0.120000,86154.899922,0.000000,86.000000
0.140000,86154.899922,-0.000000,86.000000
0.160000,86154.899922,0.000000,86.000000
0.180000,86154.899922,-0.000000,86.000000
0.200000,86154.899922,0.000000,86.000000
0.220000,86154.899922,0.000000,86.000000
0.240000,86154.899922,0.000000,86.000000
0.260000,86154.899922,0.000000,86.000000
0.280000,86154.899922,-0.000000,86.000000
0.300000,86154.899922,0.000000,86.000000
0.320000,86154.899922,0.000000,86.000000
0.340000,86154.899922,0.000000,86.000000
0.360000,86154.899922,0.000000,86.000000
0.380000,86154.899922,-0.000000,86.000000
0.400000,86154.899922,0.000000,86.000000
0.420000,86154.899922,0.000000,86.000000
0.440000,86154.899922,-0.000000,86.000000
0.460000,86154.899922,-0.000000,86.000000
0.480000,86154.899922,-0.000000,86.000000
0.500000,86154.899922,0.000000,86.000000
0.520000,86154.899922,0.000000,86.000000
0.540000,86154.899922,0.000000,86.000000
0.560000,86154.899922,-0.000000,86.000000
0.580000,86154.899154,2.891871,86.000000
0.600000,86154.886221,8.538712,86.000000
0.620000,86154.839076,14.189441,86.000000
0.640000,86154.734995,19.845076,86.000000
0.660000,86154.551285,25.506749,86.000000
0.680000,86154.264422,31.175576,86.000000
0.700000,86153.852433,36.853929,86.000000
0.720000,86153.297213,36.840395,86.000000
0.740000,86152.594174,36.826499,86.000000
0.760000,86151.743369,36.812324,86.000000
0.780000,86150.744858,36.798334,86.000000
0.800000,86149.598693,36.784508,86.000000
0.820000,86148.304933,36.770184,86.000000
0.840000,86146.863634,36.754190,86.000000
0.860000,86145.274860,36.741001,86.000000
0.880000,86143.538664,36.728021,86.000000
0.900000,86141.655100,36.715052,86.000000
0.920000,86139.624219,36.701813,86.000000
0.940000,86137.446072,36.688332,86.000000
0.960000,86135.120715,36.674937,86.000000
0.980000,86132.648203,36.661613,86.000000
1.000000,86130.028580,36.657757,86.000000
1.020000,86127.261871,36.653664,86.000000
1.040000,86124.348091,36.649240,86.000000
1.060000,86121.287258,36.644428,86.000000
1.080000,86118.079391,36.639218,86.000000
1.100000,86114.724510,36.634750,86.000000
1.120000,86111.222630,36.545358,86.000001
1.140000,86107.573939,36.549296,86.011019
1.160000,86103.778600,36.554645,86.044013
1.180000,86099.836587,36.561643,86.099317
1.200000,86095.747871,36.570429,86.177098
1.220000,86091.512417,36.581100,86.277306
1.240000,86087.130184,36.591616,86.399610
1.260000,86082.601128,36.603052,86.543336
1.280000,86077.925197,36.626541,86.707301
1.300000,86073.102299,36.651129,86.889638
1.320000,86068.132340,36.676596,87.087428
1.340000,86063.015220,36.702498,87.296231
1.360000,86057.750832,36.728509,87.509286
1.380000,86052.339075,36.753238,87.716301
1.400000,86046.779848,36.776937,87.901892
1.420000,86041.073056,36.801797,88.044296
1.440000,86035.218598,36.824742,88.116507
1.460000,86029.216384,36.844963,88.092898
1.480000,86023.066333,36.861727,87.960008
1.500000,86016.768377,36.874852,87.721837
1.520000,86010.322465,36.884114,87.394092
1.540000,86003.728558,36.888193,86.994970
1.560000,85996.986642,36.885784,86.540005
1.580000,85990.096724,36.877093,86.041042
1.600000,85983.058842,36.861233,85.506939
1.620000,85975.873057,36.838023,84.944455
1.640000,85968.539462,36.806615,84.359004
1.660000,85961.058185,36.766735,83.755153
1.680000,85953.429385,36.718388,83.136950
1.700000,85945.653257,36.663283,82.508143
1.720000,85937.730022,36.599492,81.872312
1.740000,85929.659934,36.526990,81.232947
1.760000,85921.443283,36.446034,80.593500
1.780000,85913.080398,36.357364,79.957415
1.800000,85904.571632,36.261562,79.328131
1.820000,85895.917373,36.159414,78.709098
1.840000,85887.118028,36.049438,78.103757
1.860000,85878.174034,35.935306,77.515535
1.880000,85869.085847,35.818384,76.947822
1.900000,85859.853943,35.699974,76.403944
1.920000,85850.478793,35.581585,75.887150
1.940000,85840.960874,35.465112,75.400569
1.960000,85831.300651,35.352268,74.947187
1.980000,85821.498578,35.244232,74.529815
2.000000,85811.555086,35.143531,74.151053
2.020000,85801.470580,35.051688,73.813255
2.040000,85791.245428,34.970387,73.518499
2.060000,85780.879954,34.900647,73.268554
2.080000,85770.374439,34.844357,73.064844
2.100000,85759.729108,34.802735,72.908426
2.120000,85748.944129,34.773017,72.799953
2.140000,85738.019621,34.759273,72.739656
2.160000,85726.955637,34.761673,72.727319
2.180000,85715.752167,34.780295,72.762260
2.200000,85704.409136,34.814718,72.843315
2.220000,85692.926407,34.864245,72.968865
2.240000,85681.303784,34.928339,73.136780
2.260000,85669.541009,35.002318,73.344446
2.280000,85657.637786,35.087814,73.588793
2.300000,85645.593772,35.183025,73.866289
2.320000,85633.408585,35.286074,74.172973
2.340000,85621.081812,35.394985,74.504495
2.360000,85608.613018,35.507627,74.856150
2.380000,85596.001749,35.622330,75.222929
2.400000,85583.247549,35.736152,75.599575
2.420000,85570.349959,35.848051,75.980647
2.440000,85557.308532,35.956411,76.360591
2.460000,85544.122835,36.059085,76.733815
2.480000,85530.792454,36.154984,77.094768
2.500000,85517.317005,36.243427,77.438027
2.520000,85503.696134,36.323103,77.758376
2.540000,85489.929512,36.404030,78.050901
2.560000,85476.016819,36.475482,78.311062
2.580000,85461.957774,36.537213,78.534790
2.600000,85447.752129,36.588422,78.718516
2.620000,85433.399679,36.629571,78.859292
2.640000,85418.900257,36.660679,78.954818
2.660000,85404.253740,36.681208,79.003501
2.680000,85389.460041,36.696515,79.004486
2.700000,85374.519103,36.701457,78.957703
2.720000,85359.430903,36.695890,78.863864
2.740000,85344.195466,36.680023,78.724497
2.760000,85328.812856,36.652926,78.541939
2.780000,85313.283182,36.614411,78.319313
2.800000,85297.606598,36.564059,78.060498
2.820000,85281.783301,36.511519,77.770077
2.840000,85265.813505,36.448428,77.453265
2.860000,85249.697466,36.375202,77.115824
2.880000,85233.435477,36.292747,76.763955
2.900000,85217.027866,36.203259,76.404181
2.920000,85200.474995,36.108356,76.043211
2.940000,85183.777241,36.010989,75.687794
2.960000,85166.935008,35.895038,75.344571
2.980000,85149.948745,35.781657,75.019929
3.000000,85132.818910,35.672983,74.719837
3.020000,85115.545936,35.572592,74.449709
3.040000,85098.130224,35.483873,74.214264
3.060000,85080.572129,35.409333,74.017408
3.080000,85062.871950,35.350524,73.862120
3.100000,85045.029911,35.328264,73.750362
3.120000,85027.046113,35.325093,73.683029
3.140000,85008.920568,35.341889,73.659907
3.160000,84991.192449,35.378151,73.679656
3.180000,84973.845211,35.431612,73.739859
3.200000,84956.364002,35.501436,73.837176
3.220000,84938.748559,35.585894,73.967347
3.240000,84920.998572,35.669013,74.125242
3.260000,84903.113721,35.760417,74.305013
3.280000,84885.093659,35.858239,74.500254
3.300000,84866.938018,35.958013,74.704180
3.320000,84848.646422,36.056603,74.909817
3.340000,84830.218497,36.151133,75.110205
3.360000,84811.653889,36.239412,75.298607
3.380000,84792.952268,36.309108,75.468669
3.400000,84774.113370,36.367874,75.614823
3.420000,84755.136970,36.414100,75.732107
3.440000,84736.022895,36.446537,75.816618
3.460000,84716.771020,36.464653,75.865465
3.480000,84697.381280,36.467811,75.876994
3.500000,84677.853660,36.455852,75.850742
3.520000,84658.188208,36.427213,75.787517
3.540000,84638.385030,36.382951,75.689353
3.560000,84618.444293,36.323894,75.559435
3.580000,84598.366220,36.252133,75.402007
3.600000,84578.151083,36.168753,75.222221
3.620000,84557.799195,36.075833,75.025959
3.640000,84537.310907,35.976014,74.819606
3.660000,84516.686594,35.876491,74.609850
3.680000,84495.926635,35.775457,74.403407
3.700000,84475.031408,35.677019,74.206803
3.720000,84454.001286,35.585196,74.026099
3.740000,84432.836615,35.503211,73.866658
3.760000,84411.537703,35.434021,73.732935
3.780000,84390.104811,35.380220,73.628313
3.800000,84368.538149,35.334393,73.554967
3.820000,84346.837882,35.307725,73.513775
3.840000,84325.004113,35.299072,73.504288
3.860000,84303.036873,35.307455,73.524761
3.880000,84280.936134,35.331099,73.572224
3.900000,84258.701804,35.367777,73.642625
3.920000,84236.333748,35.415215,73.731001
3.940000,84213.831805,35.444574,73.831707
3.960000,84191.195855,35.475943,73.938678
3.980000,84168.425772,35.507140,74.045691
4.000000,84145.521439,35.533986,74.146646
4.020000,84122.482756,35.553147,74.235855
4.040000,84099.309651,35.561522,74.308291
4.060000,84076.002094,35.555803,74.359818
4.080000,84052.560096,35.552345,74.387383
4.100000,84028.983680,35.535416,74.389139
4.120000,84005.272912,35.502706,74.364533
4.140000,83981.427915,35.454308,74.314306
4.160000,83957.448873,35.391704,74.240454
4.180000,83933.336019,35.316904,74.146110
4.200000,83909.089637,35.232512,74.035368
4.220000,83884.710060,35.116088,73.913054
4.240000,83860.197711,34.993972,73.784501
4.260000,83835.553052,34.871018,73.655240
4.280000,83810.776546,34.750595,73.530709
4.300000,83785.868648,34.636027,73.415970
4.320000,83760.829790,34.530242,73.315434
4.340000,83735.660370,34.437324,73.232640
4.360000,83710.360742,34.354490,73.170062
4.380000,83684.931217,34.286859,73.128987
4.400000,83659.372049,34.234166,73.109469
4.420000,83633.683440,34.195327,73.110339
4.440000,83607.865537,34.168624,73.129296
4.460000,83581.918441,34.152384,73.163053
4.480000,83555.841988,653.630132,73.207608
4.500000,83529.635736,34.153147,73.258280
4.520000,83503.300354,34.163944,73.310331
4.540000,83476.835802,34.171775,73.359016
4.560000,83450.242049,34.173316,73.399931
4.580000,83423.519093,34.165598,73.429311
4.600000,83396.666961,34.146428,73.444148
4.620000,83369.685726,34.115648,73.442561
4.640000,83342.575494,34.092834,73.423662
4.660000,83315.336365,34.056829,73.387737
4.680000,83287.968471,34.008577,73.336166
4.700000,83260.471996,33.949609,73.271318
4.720000,83232.847161,33.882030,73.196339
4.740000,83205.094221,33.809605,73.114973
4.760000,83177.213449,33.733959,73.031256
4.780000,83149.205129,33.658087,72.949287
4.800000,83121.069547,33.587078,72.872888
4.820000,83092.806971,33.523839,72.805432
4.840000,83064.417639,33.470215,72.749521
4.860000,83035.901755,33.427388,72.706874
4.880000,83007.259480,33.396096,72.678229
4.900000,82978.490930,33.378718,72.663277
4.920000,82949.596190,33.349765,72.660816
4.940000,82920.575352,33.329014,72.668702
4.960000,82891.428497,33.314043,72.684133
4.980000,82862.155682,33.302467,72.703852
5.000000,82832.756950,33.292986,72.724408
5.020000,82803.232340,33.281131,72.742412
5.040000,82773.581899,33.261309,72.754808
5.060000,82743.805697,33.239268,72.759063
5.080000,82713.903823,33.207799,72.753399
5.100000,82683.876395,33.165171,72.736815
5.120000,82653.723573,33.112147,72.709259
5.140000,82623.445559,33.049349,72.671550
5.160000,82593.042589,32.978504,72.625289
5.180000,82562.514930,32.902556,72.572701
5.200000,82531.862873,32.817480,72.516441
5.220000,82501.086733,32.731457,72.459379
5.240000,82470.186838,32.647289,72.404340
5.260000,82439.163505,32.567595,72.353903
5.280000,82408.017030,32.494489,72.310070
5.300000,82376.747691,32.429528,72.274306
5.320000,82345.355734,32.373824,72.247321
5.340000,82313.841381,32.321321,72.229045
5.360000,82282.204816,32.276642,72.218626
5.380000,82250.446211,32.239660,72.214590
5.400000,82218.565705,32.207719,72.215027
5.420000,82186.563420,32.177825,72.217676
5.440000,82154.439472,32.146457,72.220140
5.460000,82122.193981,32.111908,72.220168
5.480000,82089.827084,32.061956,72.215822
5.500000,82057.338964,32.005251,72.205657
5.520000,82024.729836,31.940954,72.188826
5.540000,81991.999942,31.868872,72.165136
5.560000,81959.149556,31.789420,72.135052
5.580000,81926.178977,31.704652,72.099618
5.600000,81893.088525,31.616396,72.060346
5.620000,81859.878551,31.501610,72.019051
5.640000,81826.549479,31.386671,71.977660
5.660000,81793.101738,31.273709,71.938039
5.680000,81759.535750,31.166605,71.901805
5.700000,81725.851920,31.064950,71.870160
5.720000,81692.050632,30.969875,71.843824
5.740000,81658.132247,30.880422,71.822930
5.760000,81624.097087,30.818905,71.807135
5.780000,81589.945404,30.760195,71.795524
5.800000,81555.677416,30.704641,71.786831
5.820000,81521.293336,30.650564,71.779570
5.840000,81486.793368,30.595793,71.772163
5.860000,81452.177720,30.537694,71.763130
5.880000,81417.446611,30.476136,71.751235
5.900000,81382.600281,30.399938,71.735610
5.920000,81347.639010,30.318468,71.715832
5.940000,81312.563107,30.231648,71.691910
5.960000,81277.372901,30.140208,71.664338
5.980000,81242.068736,30.046520,71.633972
6.000000,81206.650970,29.951165,71.601933
6.020000,81171.119959,29.855797,71.569467
6.040000,81135.476073,29.749744,71.537826
6.060000,81099.719702,29.646335,71.508105
6.080000,81063.851239,29.545547,71.481137
6.100000,81027.871063,29.447906,71.457406
6.120000,80991.779546,29.354670,71.437013
6.140000,80955.577038,29.265409,71.419681
6.160000,80919.263878,29.180175,71.404803
6.180000,80882.840410,29.065840,71.391522
6.200000,80846.307053,28.951967,71.378851
6.220000,80809.664230,28.837137,71.365783
6.240000,80772.912375,28.720165,71.351421
6.260000,80736.051931,28.600034,71.335059
6.280000,80699.083354,28.476206,71.316273
6.300000,80662.007110,28.346391,71.294959
6.320000,80624.823641,28.284633,71.271306
6.340000,80587.533235,28.220145,71.245799
6.360000,80550.136136,28.154012,71.219150
6.380000,80512.632584,28.087401,71.192103
6.400000,80475.022831,28.020479,71.165435
6.420000,80437.307135,27.953860,71.139897
6.440000,80399.485745,27.890216,71.116026
6.460000,80361.558914,27.813020,71.094124
6.480000,80323.526921,27.738767,71.074234
6.500000,80285.390048,27.667102,71.056146
6.520000,80247.148567,27.597278,71.039462
6.540000,80208.802740,27.528476,71.023602
6.560000,80170.352830,27.459654,71.007928
6.580000,80131.799096,27.391005,70.991818
6.600000,80093.141823,27.281968,70.974741
6.620000,80054.381399,27.171297,70.956330
6.640000,80015.518242,27.059784,70.936415
6.660000,79978.169348,26.941409,70.915028
6.680000,79941.795520,26.816708,70.892720
6.700000,79905.327291,26.692735,70.870700
6.720000,79868.765094,26.571017,70.850109
6.740000,79832.109354,26.460095,70.831840
6.760000,79795.360466,26.352895,70.816422
6.780000,79758.518807,26.250450,70.803973
6.800000,79721.584737,26.152287,70.794204
6.820000,79684.558603,26.057285,70.786485
6.840000,79647.440740,25.963837,70.779946
6.860000,79610.231476,25.870044,70.773604
6.880000,79572.931139,25.782045,70.766516
6.900000,79535.540042,25.691160,70.757899
6.920000,79498.058507,25.596554,70.747239
6.940000,79460.486865,25.497427,70.734340
6.960000,79422.825467,25.394588,70.719342
6.980000,79385.074673,25.290712,70.702672
7.000000,79347.234849,25.187175,70.684979
7.020000,79309.306393,25.045814,70.667050
7.040000,79271.289768,24.905595,70.649608
7.060000,79233.185465,24.767530,70.633282
7.080000,79194.993962,24.631619,70.618495
7.100000,79156.715751,24.497531,70.605488
7.120000,79118.351302,24.365449,70.594172
7.140000,79079.901078,24.236670,70.584232
7.160000,79041.365551,24.080739,70.575170
7.180000,79002.745251,23.925136,70.566396
7.200000,78964.040727,23.768568,70.557319
7.220000,78925.252533,23.609893,70.547430
7.240000,78886.381226,23.448928,70.536381
7.260000,78847.427373,23.285470,70.524026
7.280000,78808.391547,23.124887,70.510427
7.300000,78769.274436,22.799203,70.495834
7.320000,78730.077048,22.472727,70.480637
7.340000,78690.800546,22.145564,70.465299
7.360000,78651.446086,21.818367,70.450274
7.380000,78612.014818,21.492754,70.435948
7.400000,78572.507889,21.169432,70.422563
7.420000,78532.926436,20.856782,70.410236
7.440000,78493.271732,20.280550,70.398880
7.460000,78453.545654,19.706036,70.388274
7.480000,78413.750204,19.131074,70.378099
7.500000,78373.887407,18.556638,70.367990
7.520000,78333.959286,17.983210,70.357601
7.540000,78293.967858,17.408974,70.346654
7.560000,78253.915152,16.785656,70.334983
7.580000,78213.803449,15.871991,70.322549
7.600000,78173.635869,14.896660,70.309443
7.620000,78133.415851,13.919896,70.295857
7.640000,78093.146832,12.943365,70.282051
7.660000,78052.832248,11.967575,70.268304
7.680000,78012.475534,10.993099,70.254865
7.700000,77972.080127,10.010079,70.241917
7.720000,77931.649244,9.324046,70.229547
7.740000,77891.185576,8.639605,70.217771
7.760000,77850.691493,7.956064,70.206472
7.780000,77810.169402,7.273707,70.195473
7.800000,77769.621706,6.591981,70.184574
7.820000,77729.050804,5.910526,70.173561
7.840000,77688.459096,5.221265,70.162253
7.860000,77647.848850,4.776997,70.150541
7.880000,77607.221803,4.332197,70.138378
