time,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_T,mag_y_T,mag_z_T,pressure_Pa
0.000000,0.464475,0.474052,-9.753978,0.001065,0.001065,0.002131,-0.000012,-0.000016,-0.000043,85532.160000
0.020000,0.459687,0.469264,-9.777920,0.000000,-0.001065,0.001065,-0.000012,-0.000015,-0.000044,85531.200000
0.040000,0.493206,0.469264,-9.801862,0.001065,-0.001065,0.001065,-0.000013,-0.000018,-0.000043,85527.680000
0.060000,0.478840,0.469264,-9.773131,0.000000,-0.001065,0.002131,-0.000011,-0.000018,-0.000044,85520.000000
0.080000,0.488417,0.469264,-9.806650,0.000000,-0.001065,0.001065,-0.000010,-0.000017,-0.000043,85530.720000
0.100000,0.464475,0.469264,-9.739612,0.000000,0.000000,0.001065,-0.000012,-0.000017,-0.000043,85520.320000
0.120000,0.478840,0.474052,-9.782708,0.000000,-0.002131,0.002131,-0.000011,-0.000017,-0.000044,85546.880000
0.140000,0.450110,0.464475,-9.797073,-0.001065,-0.002131,0.000000,-0.000011,-0.000018,-0.000043,85529.280000
0.160000,0.488417,0.474052,-9.801862,0.000000,-0.002131,0.002131,-0.000011,-0.000016,-0.000043,85514.400000
0.180000,0.464475,0.474052,-9.797073,0.001065,-0.002131,0.001065,-0.000011,-0.000017,-0.000043,85529.920000
0.200000,0.474052,0.464475,-9.797073,-0.001065,-0.001065,0.002131,-0.000010,-0.000018,-0.000044,85516.000000
0.220000,0.464475,0.488417,-9.787496,0.000000,-0.002131,0.002131,-0.000013,-0.000017,-0.000043,85515.360000
0.240000,0.464475,0.493206,-9.801862,0.001065,-0.001065,0.002131,-0.000013,-0.000017,-0.000045,85531.360000
0.260000,0.474052,0.459687,-9.787496,0.000000,-0.001065,0.002131,-0.000010,-0.000016,-0.000043,85539.520000
0.280000,0.454898,0.464475,-9.753978,-0.001065,0.000000,0.001065,-0.000012,-0.000016,-0.000043,85530.400000
0.300000,0.483629,0.483629,-9.801862,-0.002131,-0.002131,0.001065,-0.000011,-0.000016,-0.000044,85525.760000
0.320000,0.454898,0.478840,-9.811438,0.000000,-0.001065,0.003196,-0.000013,-0.000017,-0.000043,85530.400000
0.340000,0.464475,0.483629,-9.753978,0.000000,-0.002131,0.001065,-0.000011,-0.000018,-0.000045,85524.800000
0.360000,0.459687,0.469264,-9.797073,0.000000,0.000000,0.003196,-0.000011,-0.000017,-0.000044,85526.880000
0.380000,0.474052,0.488417,-9.811438,0.000000,0.000000,0.001065,-0.000013,-0.000018,-0.000044,85522.720000
0.400000,0.469264,0.474052,-9.792285,0.000000,-0.001065,0.002131,-0.000012,-0.000017,-0.000044,85527.520000
