Time[ms],AccX[g],AccY[g],AccZ[g],GyroX[°/s],GyroY[°/s],GyroZ[°/s],MagX[uT],MagY[uT],MagZ[uT],qW,qX,qY,qZ,AltFilt[m],VelFilt[m/s],AccVert[m/s^2],Tilt[°],PressBMP[Pa],Servo[%],PID_Gain,Cd_Gain,Estado
13839,0.045,0.048,-0.996,0.000,0.000,0.000,-10.000,-17.000,-44.000,-0.0023,-0.0012,1.0000,-0.0019,0.00,0.00,0.00,0.34,86208.8,0,0.00,0.00,2
14035,0.045,0.048,-0.996,0.000,0.000,0.000,-10.000,-17.000,-44.000,-0.0047,-0.0026,1.0000,-0.0039,0.00,0.00,0.00,0.70,86208.8,0,0.00,0.00,2
14259,0.045,0.048,-0.996,0.000,0.000,0.000,-10.000,-17.000,-44.000,-0.0072,-0.0040,0.9999,-0.0059,0.00,0.00,0.00,1.07,86208.8,0,0.00,0.00,2
14439,0.045,0.048,-0.996,0.000,0.000,0.000,-10.000,-17.000,-44.000,-0.0096,-0.0055,0.9999,-0.0080,0.00,0.00,0.00,1.43,86208.8,0,0.00,0.00,2
14635,0.045,0.048,-0.996,0.000,0.000,0.000,-10.000,-17.000,-44.000,-0.0122,-0.0070,0.9999,-0.0101,0.00,0.00,0.00,1.81,86208.8,0,0.00,0.00,2
14859,0.045,0.048,-0.996,0.000,0.000,0.000,-10.000,-17.000,-44.000,-0.0147,-0.0087,0.9998,-0.0122,0.00,0.00,0.00,2.18,86208.8,0,0.00,0.00,2
15039,0.045,0.048,-0.996,0.000,0.000,0.000,-10.000,-17.000,-44.000,-0.0172,-0.0104,0.9997,-0.0143,0.00,0.00,0.00,2.56,86208.8,0,0.00,0.00,2
15235,0.045,0.048,-0.996,0.000,0.000,0.000,-10.000,-17.000,-44.000,-0.0197,-0.0122,0.9996,-0.0164,0.00,0.00,0.00,2.94,86208.8,0,0.00,0.00,2
15459,0.045,0.048,-0.996,0.000,0.000,0.000,-10.000,-17.000,-44.000,-0.0222,-0.0141,0.9995,-0.0185,0.00,0.00,0.00,3.31,86208.8,0,0.00,0.00,2
15639,0.045,0.048,-0.996,0.000,0.000,0.000,-10.000,-17.000,-44.000,-0.0247,-0.0160,0.9994,-0.0205,0.00,0.00,0.00,3.68,86208.8,0,0.00,0.00,2
